TORQUAY-WOODFIELD,,,,,,,,,,,,,,,,,,,,
Grid ref,SX924634,Long,-3.5166,Lat,50.4613,Elevation,120,ft,,,,,,,,,,,,
Station no,RR2818,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,4.7,4.4,3.9,2,1.5,,0.6,3.7,4.56,0.94,,,2.54,,,,,
February,,,1.1,3.2,0.8,0.4,2.8,,1.6,2.3,1,2.52,,,1.78,,,,,
March,,,1.4,0.9,0.3,2.9,0.7,,0.8,1.2,2.11,2.03,,,3.07,,,,,
April,,,1.3,1.6,0.3,,,2.1,4.1,1.5,1.03,0.19,,,1.17,,,,,
May,,,2.5,3.6,2.9,,,2.8,0.9,1.6,3.21,1.43,,,1.4,,,,,
June,,,6.5,2.3,1.9,,,2.5,1.1,0.7,6.67,2.67,,,1.26,,,,,
July,,,1,2.7,,,,1.2,,1.7,0.59,2.93,,,0.46,,,,,
August,,,3.6,2.5,,,,1,,2.5,3.21,0.47,,,0.86,,,,,
September,,,5.1,1.3,,,,1.3,,2.7,2.48,1.95,,,1.81,,,,,
October,,,5.7,4.8,2.6,3.6,3.1,,3.3,,1.48,1.2,,,1.25,,,,,
November,,,10.6,2.8,3.2,1,0.8,,3.5,,4.06,4.14,,,3.4,,,,,
December,,,6.7,3.6,1.1,2.6,3.6,,3.8,,5.96,2.27,,,3.08,,,,,
Total,,,50.2,33.7,,,,,,,36.36,22.74,,,22.08,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1864 8in gauge – nothing to say if this was a new gauge with different diameter,,,,,,,,,,,,,,,,,,,,
