SHEPPEY-OLD-RIDES-EASTCHURCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TR001702,Long,0.87497914,Lat,51.395538,Elevation,40,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,2.43,0.87,2.58,1.01,1.26,0.71,1.99,1.01,2.49,3.29,0.72,2.42,0.94,2.02,2.86,2.44,2.05,1.51,2.52,1.18,1.09,1.03,2.27,1.01,,,
February,,,,,2.01,0.93,1.38,1.08,0.9,1.64,3.06,0.89,1.33,0.6,1.8,2.37,3.55,1.98,0.64,2.71,0.38,1.07,1.24,2.47,0.38,2.22,2.13,3.08,,,
March,,,,,2.04,1.75,1.15,0.75,2.03,3.58,1.33,2.41,2.37,1.64,4.43,1.38,5.39,1.24,0.76,2.37,0.9,0.99,1.65,1.54,0.86,0.89,0.09,1.93,,,
April,,,,,0.95,2.35,1.11,2.03,2.4,1.46,1.44,1.32,0.21,2.42,1.84,1.31,1.54,2.14,1.49,3.11,2.68,1.3,1.67,1.23,2.47,1.61,3.23,1.38,,,
May,,,,,1.39,0.92,2.02,2.67,1.14,1.44,3.04,1.05,0.97,0.92,0.98,2.99,1.38,1.55,1.6,0.19,1.26,0.97,0.52,3.1,2.27,1.88,0.63,0.96,,,
June,,,,,1.81,4.87,1.8,1.75,1.28,3.28,2.79,2.21,3.52,0.46,1.42,1.5,1.48,1.09,1,1.16,1.22,0.2,1.18,0.69,0.91,0.5,2.21,3,,,
July,,,,,1.03,0.72,2.78,1.29,3.17,3.05,1.91,0.31,1.33,2.23,2.97,2.87,1.26,4.97,2.81,2.86,2.09,0.22,2.12,0.74,2.86,1.76,1.33,3.54,,,
August,,,,,1.3,1.67,0.88,1.57,2.69,2.04,1.92,1.79,4.35,1.07,0.93,2.35,1.71,6.35,0.44,2.85,1.68,1.65,1.66,1.09,2.38,1.23,2.62,2.99,,,
September,,,,,1.59,2.48,1.28,0.5,2.08,2.39,0.83,1.07,2.24,0.96,0.47,2.91,0.63,0.68,3.92,1.4,2.48,0.64,2.19,1.37,1.35,2,0.63,4.19,,,
October,,,,,1.6,1.3,2.55,3.54,1.38,4.83,1.29,3.95,3.06,3.23,2.01,1.25,2.89,2.52,2.39,1.25,0.58,0.51,1.81,4.8,3.28,2.83,2.81,0.99,,,
November,,,,,1.26,2.08,4.1,1.66,0.85,0.94,2.35,3.12,1.71,3.34,3.38,3.59,3.07,1.17,1.83,1.87,0.8,1.52,1.06,1.69,3.16,2.41,4.73,2.8,,,
December,,,,,2.14,0.37,1.5,1.72,2.14,3.42,2.56,3.56,1.81,0.83,4.37,5.38,2.25,1.81,1.06,2.84,2.15,1.11,2.74,2.31,2.35,2.55,0.76,2.5,,,
Total,,,,,19.55,20.31,23.13,19.57,21.32,28.78,24.51,22.69,25.39,20.99,25.32,30.32,26.09,27.52,20.8,25.05,18.27,11.69,20.36,22.21,23.36,20.91,23.44,28.37,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928 Gauge moved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
