HAYWARDS-HEATH-ASYLUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ337228,Long,-0.096421,Lat,50.989082,Elevation,281,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,,3.91,3.95,1.72,3.17,5.73,2.9,1.58,3.44,0.73,6.28,1.54,2.82,0.5,1.43,1.57,2.56,3.08,2.01,4.14,2.06,0.9,1.17,2.43,2.41,0.7,1.88,4.01,1.7,0.83,2.2,0.8,2.7,3.34,0.73,0.9,2.51,,,,,,
February,,,,,,,,,1.2,3.04,2.08,1.54,1.86,2.03,2.13,1.58,2.55,2.02,1.77,3.34,3.04,3.01,1.82,4.11,1.73,3.36,0.55,0.64,2.21,2.15,1.51,0.24,1.34,3.17,1.88,0,0.09,3.04,1.21,2.82,4.99,1.53,1.25,1.79,,,,,,
March,,,,,,,,,1.58,1.93,1.8,1.3,2.38,1.68,0.72,0.66,2.69,2.92,1.19,0.78,1.12,2.69,1.19,0.81,2.02,2.39,2.08,1.37,2.98,1.91,1.54,2,1.2,0.5,1.32,2.38,2.58,4.73,0.76,0.83,1.15,1.4,1.47,2.48,,,,,,
April,,,,,,,,,2.13,1.46,0.28,3.7,0.51,0.84,1.87,0.97,2.11,3.46,3.2,2.88,1.93,0.76,2.7,1.47,1.22,1.2,3.68,1.3,1.27,1.85,2.83,0.38,1.11,0,2.08,2.56,0.68,2.14,0.89,2.51,0.97,2.2,0.69,2.18,,,,,,
May,,,,,,,,,1.25,4.32,0.88,0.57,3.68,1.21,0.59,1.37,1.01,2.09,3.77,3.09,0.4,0.8,1.5,2.53,0.41,2.52,4.48,1.62,1.58,1.23,2.01,2.73,0.43,0.53,1.4,0.06,0.2,1.37,3.05,1.41,0.69,1.27,0.77,3.1,,,,,,
June,,,,,,,,,0.49,1.37,0.17,2.91,2.65,2.53,2.42,3.09,2.48,1.08,2.44,4.96,2.24,2.75,1.9,1.82,1.88,0.83,0.52,0.78,3.75,0.18,2.45,1.76,2.68,2.7,1.91,0.35,2.71,1.58,0.55,1.45,2.81,1.73,3.16,4.07,,,,,,
July,,,,,,,,,1.36,0.33,1.5,2.55,1.87,2.41,2.07,4.22,0.56,2.82,1.49,3.34,2.89,1.64,3.3,2.61,2.28,0.37,2.43,0.67,4.59,3.17,3.42,2.31,2.07,3.21,5.42,4.03,1.78,0.38,1.45,1.01,0.86,2.32,1.58,3.66,,,,,,
August,,,,,,,,,3.04,1.59,1.72,1.32,1.3,3.33,2.31,1.89,3.69,3.34,3.97,5.04,1.14,3.83,1.97,0.96,1.01,1.27,2.39,2.33,1.26,2.4,3.43,4.2,2.28,0.42,2.05,2.85,1.6,3.44,1.02,1.11,1.77,1.74,4.24,3.92,,,,,,
September,,,,,,,,,2.67,4.29,2.08,4.13,1.97,2.83,3.65,1.92,3.97,0.98,1.67,3.35,4.65,2.59,2.44,3.64,3.69,4.54,0.9,2.38,1.21,1.13,0.88,1.17,2.77,3.25,3.32,0.2,5.98,2.62,0.67,2.8,0.95,1.88,0.53,3.13,,,,,,
October,,,,,,,,,2.22,2.52,4.33,1.34,6.25,4.1,3.58,4.7,1.09,3.18,3.35,0.88,7.55,2.1,6.2,2.48,1.32,3.92,3.08,1.23,1.83,5.64,1.15,7.51,4.08,4.22,4.43,5.08,3.96,0.4,3.81,2.11,1.54,3.88,1.15,6.47,,,,,,
November,,,,,,,,,1.32,2.76,2.31,0.75,5.47,2,2.9,4.59,2.77,6.67,3.27,1.1,3.71,3.63,3.77,4.51,1.33,3.34,3.3,5.11,4.76,0.86,2.71,3.26,2.86,1.88,5.48,5.1,1.4,1.48,3.31,5.56,3.14,0.66,2.53,1.95,,,,,,
December,,,,,,,,,6.61,3.05,2.93,1.53,4.52,0.68,1.94,0.86,8.29,2.31,1.81,0.68,3.87,3.22,2.72,1.1,3.85,1.26,4.94,2.02,1.74,1.19,0.37,3.1,2.48,2.13,2.24,3.11,4.02,3.23,2.72,1.7,3.3,4.52,1.74,2.03,,,,,,
Total,,,,,,,,,27.78,30.61,21.8,24.81,38.19,26.54,25.76,29.29,31.94,37.15,29.47,32.26,33.04,28.45,31.08,28.6,23.82,27.01,32.49,21.51,28.08,22.88,24.73,31.07,24,23.89,35.54,27.42,25.83,26.61,20.24,26.01,25.51,23.86,20.01,37.29,,,,,,
