BARNARD CASTLE HURY RESERVOIR - old gauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY966192,Long,-2.0541,Lat,54.568012,Elevation,866,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,4.59,4.54,2.48,2.47,3.46,7.25,4.22,1.85,1.61,6.04,3.89,1.47,4.69,1.95,2.13,2.68,4.74,1.46,2.51,3.8,2.8,4.27,4.22,2.7,3.67,3.52,5.66,6.27,3.98,2.59,2.54,4.37,3.76,,,,5.89,3.79,3.9,2.52,3.66,1.6,4.69,4.31,5.62,6.41,1.21,3.09,3.29,4.22,4.52,5.05,2.8,3.09,8.6,2.11,2.07,3.26,3.37,0.99,3.71,2.59,4.06,4.65,2.88,2.59,5.48
February,,,,,7.92,1.73,1.63,2.95,4.15,2.75,4.27,1.03,0.92,5.74,2.98,1.75,1.87,2.92,3.66,3,5.41,5.52,2.48,2.11,4.07,3.41,4.43,1.04,4.86,1.9,3.51,0.18,3.88,5.29,1.19,5.43,2.83,,,,1.32,3.06,0.52,5.7,0.21,6.63,2.34,4.63,1.67,3.92,2.24,3.92,1.87,2.61,2.33,4.35,3.74,4.03,3.42,3.56,6.7,3.71,0.81,1.49,1.93,1.59,2.23,3.06,6.32,0.56,2.64
March,,,,,3.77,4.01,5.34,7.2,1.71,1.8,0.55,2.94,2.01,4.99,1.78,2.64,2.47,3.34,4.39,3.7,1.66,1.95,3.6,6.78,3.52,1.03,2.99,2.01,1.24,3.37,3.96,2.66,2.35,1.91,1.31,1.82,2.42,,,,2.09,0.71,2.21,2.55,3.53,1.73,2.79,2.45,1.44,3.7,3.68,3.3,2.29,2.73,0.33,1.71,1.65,5.85,2.14,1.01,1.48,3.7,1.61,0.7,1.89,1.99,2.36,2,2.68,1.52,2.31
April,,,,,3.01,1.39,2.12,2.19,3.16,2.96,3.09,1.79,1.88,1.76,2.5,2.83,1.33,1.48,2.62,3.09,3.12,1.95,0.67,3.62,1.37,1.58,2.11,1.66,1.13,1.66,4.22,1.16,3.32,2.8,2.08,4.08,1.87,,,,2.95,3.06,4.37,2.46,3.47,3.51,0.98,2.73,0.66,1.91,2.28,1.81,2.05,2.5,1.48,2.52,1.19,6.09,3.03,3.47,2.91,3.1,1.6,3.08,0.73,0.88,1.03,0.46,1.45,3,2.33
May,,,,,2.69,0.97,0.55,1.59,3.11,4.28,1.6,1.69,2.6,3.09,3.39,0.54,4.13,4.63,3.35,1.51,2.9,1.82,2.56,2.94,2.04,1.65,2.92,2.47,1.98,1.54,4.28,1.49,0.97,2.81,5.96,4.13,2.28,,,,1.44,3.21,3.11,2.46,2.34,0.56,1.93,3.07,4.06,0.68,1.03,1.58,1.77,3.85,1.71,3.56,1.73,1.83,1.46,1.44,2.11,2.91,2.05,2.61,4.99,2.89,1.1,2.05,4.68,0.37,1.98
June,,,,,3.46,1.94,3.62,2.98,2.42,1.38,4,1.5,1.71,1.44,2.5,1.21,0.66,4.21,1.25,3.03,1.74,2.64,5.63,1.99,2.56,0.38,1.85,1.57,0.74,0.95,2.44,0.38,1.61,0.99,1.44,0.09,2.82,,,,1.78,4.76,1.14,1.92,2.21,2.42,3.52,1.31,3.29,2.41,0.68,0.23,1.15,2.88,2.42,3.05,1.94,3.93,4.04,0.75,1.54,0.88,1.49,2.31,2.67,2.23,2.44,1.31,3.56,1.74,1.17
July,,,,,4.12,7.11,2.98,2.09,1.04,3.12,1.33,0.98,3.64,3.4,3.09,0.57,1.52,2.96,2.61,3.32,3.02,0.5,4.43,1.38,1.89,2.93,2.66,1.2,4.74,1.86,4.65,2.57,4.3,2.76,4.53,1.18,3.29,,,,4.89,4.07,3.4,2.4,2.9,1.53,2.71,1.7,3.36,4.83,4.55,2.21,3.14,1.85,3.6,1.35,4.44,3.64,0.9,2.77,3.21,1.05,1.33,3.16,2.32,1.16,3.46,4.59,3.02,2.16,4.54
August,,,,,3.69,3,1.99,4.96,4.67,1.4,5.2,2.57,2.67,4.74,2.8,5.69,3.32,2.75,3.5,2.49,5.46,2.54,5.31,1.1,1.75,2.2,2.18,7.22,3.78,2.74,1.19,5.37,2.24,4.95,1.99,2.93,2.97,,,,5.43,4.13,1.49,1.19,3.05,1.44,1.95,1.32,3.31,3.08,0.99,3.29,3.07,6.52,1.89,4.42,4.18,0.19,4.18,1.63,5.88,3.3,3.73,5.21,5.2,1.45,7.66,5.9,4.18,0.82,2.82
September,,,,,0.94,1.2,4.42,3.55,1.06,5.84,0.97,1.32,1.52,3.87,1.04,2.63,0.76,0.28,4.14,2.49,0.3,2.34,2.62,3.45,2.2,0.84,1.98,1.91,8.29,1.62,1.55,1.17,5.01,2.76,3.91,2.73,4.94,,,,3.19,1.88,4.25,1.89,2.38,7.82,5.51,2.5,1.86,1.3,3.05,0.2,2.49,3.52,6.36,2.11,4.94,3.43,3.83,1.94,5.42,1.92,3.6,2.72,5.26,2.05,4.45,3.82,4.24,1.25,2.91
October,,,,,5.97,4.61,3.82,2.08,6.42,2.69,6.17,2.8,3.21,9.14,1.8,2.3,4.45,5.7,3.02,3.59,3.11,3.67,3.36,2.79,1.77,0.74,6.93,3.9,2.54,3.28,3.17,2.88,1.68,5.25,4.38,3.73,3.81,,,,3.91,1.71,5.22,4.05,5.67,5.77,3.71,2.31,8.08,5.72,4.32,4.68,3.1,3.58,3.61,5.13,0.88,1.02,2.37,5.01,2.69,0.92,3.65,1.67,7.19,2.29,2.83,3.75,2.54,3.19,6.72
