"HURY RESERVOIR [BARNARD CASTLE]",,,,,,,,,,,,
Grid ref,NY966192,Long,-2.054100,Lat,54.568012,,,,,,,
Station no,3493,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.22,1.85,1.61,6.04,3.89,1.47,4.69,1.95,2.13,2.68,,
February,4.27,1.03,0.92,5.74,2.98,1.75,1.87,2.92,3.66,3.00,,
March,0.55,2.94,2.01,4.99,1.78,2.64,2.47,3.34,4.39,3.70,,
April,3.09,1.79,1.88,1.76,2.50,2.83,1.33,1.48,2.62,3.09,,
May,1.60,1.69,2.60,3.09,3.39,0.54,4.13,4.63,3.35,1.51,,
June,4.00,1.50,1.71,1.44,2.50,1.21,0.66,4.21,1.25,3.03,,
July,1.33,0.98,3.64,3.40,3.09,0.57,1.52,2.96,2.61,3.32,,
August,5.20,2.57,2.67,4.74,2.80,5.69,3.32,2.75,3.50,2.49,,
September,0.97,1.32,1.52,3.87,1.04,2.63,0.76,0.28,4.14,2.49,,
October,6.17,2.80,3.21,9.14,1.80,2.30,4.45,5.70,3.02,3.59,,
November,3.92,7.87,2.67,2.50,3.34,4.59,4.09,2.18,2.35,1.61,,
December,3.86,3.18,4.17,2.36,2.49,1.10,3.13,5.29,1.40,4.75,,
Total,39.18,29.52,28.61,49.07,31.60,27.32,32.42,37.69,34.42,35.26,,
Calc annual,39.18,29.52,28.61,49.07,31.60,27.32,32.42,37.69,34.42,35.26,,
Difference,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,,
