"ULLSCARF",,,,,,,,,,,,
Grid ref,NY298123,Long,-3.085507,Lat,54.501140,,,,,,,
Station no,3630,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,12.30,8.84,5.61,8.82,12.21,7.77,21.80,11.94,6.74,16.59,,
February,12.90,2.98,4.49,7.46,3.74,2.12,11.47,11.56,3.57,14.97,,
March,10.02,7.15,1.07,7.85,3.47,4.97,10.56,2.40,10.27,3.36,,
April,8.70,5.28,5.42,2.47,6.38,2.48,2.93,4.16,10.95,9.44,,
May,3.84,5.18,3.80,7.77,11.70,6.72,6.16,11.08,2.04,5.01,,
June,3.16,4.67,5.09,10.71,7.37,6.36,3.43,6.85,6.36,7.87,,
July,6.98,6.04,13.86,11.81,5.26,10.61,10.56,7.37,11.79,11.39,,
August,12.70,12.03,10.79,12.32,5.26,15.60,12.79,10.77,2.62,6.40,,
September,16.56,10.59,17.68,24.94,10.01,9.56,13.71,15.33,1.99,8.11,,
October,2.10,9.93,5.96,33.65,9.01,10.94,17.49,13.88,19.28,7.37,,
November,22.42,7.00,19.52,27.36,7.00,4.88,5.49,3.45,16.36,23.82,,
December,22.60,6.89,6.92,19.58,20.15,16.94,13.34,8.82,22.04,13.54,,
Total,134.28,86.58,100.21,174.74,101.56,98.85,129.73,107.61,114.01,127.87,,
Calc annual,134.28,86.58,100.21,174.74,101.56,98.95,129.73,107.61,114.01,127.87,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.10,0.00,0.00,0.00,0.00,,
