BRIDLINGTON QUAY,,,,,,,,
Grid ref,TA191675,Long,-0.181,Lat,54.090,Elevation,40,ft
Station no,RR4748,,,,,,,
,,,,,,,,
,1885,1886,1887,1888,1889,1890,,
January,1.27,2.55,1.40,0.70,1.21,1.32,,
February,1.96,0.94,0.49,1.60,1.07,0.52,,
March,1.02,3.81,1.06,2.18,1.53,1.46,,
April,1.37,1.60,0.73,1.99,2.83,0.79,,
May,1.61,2.32,0.60,0.82,1.82,1.34,,
June,2.35,0.72,0.15,1.75,0.40,1.49,,
July,1.15,2.69,1.12,3.31,2.02,1.43,,
August,2.97,1.26,1.11,1.69,3.85,1.89,,
September,2.55,0.65,2.11,1.16,0.77,0.77,,
October,2.96,2.51,2.46,0.86,4.02,1.74,,
November,1.30,1.76,1.89,1.72,3.57,1.92,,
December,0.67,3.64,1.76,1.14,1.36,0.75,,
Total,21.18,24.45,14.88,18.92,24.45,15.42,,
,,,,,,,,
TYRain_1880-1889_11_pt1/030,,,,,,,,
TYRain_1890-1899_17_pt1/147,,,,,,,,
,,,,,,,,
"# No detailed location, grid reference is based on church directions.",,,,,,,,
