BELLEEK (ROSCOR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IG971551,Long,-8.045461,Lat,54.444543,Elevation,500,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,6187/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,5.82,6.94,5.47,5.78,3.44,5.35,6.82,7.15,3.02,3.19,2.38,6.36,5.87,5.93,3.59,4.83,4.1,5.31,5.38,3.74,4.73,6.74,2.42,3.99,3.35,5.06,7.03,5.11,2.63,3.4
February,4.44,0.29,4.08,0.63,4.72,3.44,5.29,2.43,4.26,4.21,3.86,2.05,4.84,2.55,4.07,4.18,1.01,2.74,4.1,4.95,3.98,2.68,1.64,4.54,3.96,2.01,3.26,4.56,1.18,3.48
March,1.87,3.62,4.28,4.75,2.29,3.87,2.46,3.19,4.78,6.09,3.9,2.75,2.59,1.25,2.07,2.14,5.15,3.22,3.24,2.47,4.2,2.65,1.07,4.57,1.1,2.6,3.88,2.05,2.74,1.89
April,3.49,4.54,2.26,3.52,4.56,1.38,2.52,0.41,2.58,4.96,2.04,2.23,3.09,2.29,2.39,1.18,4.54,2.43,5.14,5.1,2.92,1.81,3.11,1.04,3.76,2.18,1.83,1.5,3.4,3.01
May,3.78,3.01,3.44,3.35,1.35,2.33,4.29,3.75,0.66,3.15,2.38,4.3,4.91,3.13,5.12,1.4,5.65,1.77,2.7,1.61,1.73,3.29,2.71,2.77,4.86,3.48,1.2,3.06,1.48,2.61
June,6.95,1.9,4.83,2.71,5.36,4.47,2.78,6.12,2.62,2.2,2.01,1.09,5.01,5.02,5.81,4.93,2.28,3.93,2,3.31,2.83,3.49,1.89,3.67,4.89,5.5,1.9,4.68,3.13,3.83
July,5.4,5.69,4.7,4.19,2.35,7.14,5.65,6.27,5.06,4.49,4.55,5.67,4.04,4.17,4.74,3.96,4.56,3.73,2.73,8.01,4.96,2.77,6.13,8.18,1.22,4.61,6.76,4.13,3.32,8.19
August,4.78,3.21,5.1,10.8,3.76,3.67,4.08,3.4,1.57,2.78,6.24,8.61,9.32,3.86,1.43,5.82,0.94,4.48,3.86,7.33,4.97,4.87,4.05,3.84,0.84,7.94,4.82,5.15,1.77,6.68
September,3.66,6.39,0.74,7.14,6.92,7.68,6.62,3.8,2.57,6.32,1.34,6.67,5.56,5.66,4.47,7.86,4.2,5.43,3.12,9.95,3.36,2.73,5.66,6.83,5.27,5.12,5.85,3.97,2.52,3.86
October,3.75,6.8,4.38,7.53,8.85,5.55,1.3,10.87,3.6,5.97,6.11,6.24,6.63,6.93,5.56,1.51,3.36,3.89,4.74,4.43,2.58,4.41,3.1,6.73,3.96,4.88,4.44,3.4,7.29,3.6
November,8.2,5.03,1.73,2.28,4.72,6.63,2.2,8.41,10.26,5.79,6.24,2.49,4.67,6.82,0.95,5.36,7.38,4.34,7.04,3.4,7.18,2.59,5.79,6.6,3.04,3.5,1.73,2.95,5.91,5.64
December,5.24,6.99,2.24,6.34,3.65,6.05,3.74,6.34,4.56,6.58,3.61,6.12,4.35,6.63,4.43,6.13,4.88,7.15,8.59,3.94,6.5,5.2,3.65,5.78,6.95,6.55,5.55,5.77,6.51,6.03
Total,57.38,54.41,43.25,59.02,51.97,57.56,47.75,62.14,45.54,55.73,44.66,54.58,60.88,54.24,44.63,49.3,48.05,48.42,52.64,58.24,49.94,43.23,41.22,58.54,43.2,53.43,48.25,46.33,41.88,52.22
