RUGELEY-BEAU-DESERT-1ST-POSITION,,,,,,,,,,,,,,,,,,,,
Grid ref,SK054133,Long,-1.9214968,Lat,52.717329,Elevation,600,ft.,,,,,,,,,,,,
Station no,RR2647,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,,,,1.9,1.56,5.25,,,,,,,
February,,,,,,,,,,,2.42,1.92,3.42,,,,,,,
March,,,,,,,,,,,1.95,1.06,2.12,,,,,,,
April,,,,,,,,,,,0.94,3.35,3.35,,,,,,,
May,,,,,,,,,,,1.02,2.1,2.39,,,,,,,
June,,,,,,,,,,,0.92,3.34,6.1,,,,,,,
July,,,,,,,,,,,1.14,4.69,3.89,,,,,,,
August,,,,,,,,,,,1.99,1.31,4.67,,,,,,,
September,,,,,,,,,,,0.91,6.89,4,,,,,,,
October,,,,,,,,,,2.06,5.55,3.41,5.43,,,,,,,
November,,,,,,,,,,2.87,2.2,1.23,3.73,,,,,,,
December,,,,,,,,,,4.64,3.11,1.43,4.48,,,,,,,
Total,,,,,,,,,,,24.05,32.29,48.83,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,
NGR is Beau Desert Hall. Altitudes match.,,,,,,,,,,,,,,,,,,,,
