RUGELEY-BEAU-DESERT-2ND-POSITION,,,,,,,,,,,,,,,,,,,,
Grid ref,SK052131,Long,-1.9244607,Lat,52.715533,Elevation,680,ft.,,,,,,,,,,,,
Station no,RR2647,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929
January,,,,,1.45,3.31,,,,,2.69,,,,,,,,,
February,,,,,1.83,2.78,,,,,1.74,,,,,,,,,
March,,,,,2.63,1.03,,,,4.22,2.25,,,,,,,,,
April,,,,,1.02,1.2,,,,1.71,4.71,,,,,,,,,
May,,,,,1.56,2.09,,,,1.24,2.86,,,,,,,,,
June,,,,,2.93,0.9,,,,1.78,3.46,,,,,,,,,
July,,,,,2.99,6.89,,,,2.8,3.77,,,,,,,,,
August,,,,,1.83,1.76,,,,2.98,1.14,,,,,,,,,
September,,,,,1.35,0.72,,,,1.76,2.64,,,,,,,,,
October,,,,,2.19,2.25,,,,3.35,,,,,,,,,,
November,,,,,3.8,2.82,,,,1.83,,,,,,,,,,
December,,,,,6.87,5.03,,,,4.29,,,,,,,,,,
Total,,,,,30.45,30.78,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,
NGR is on the Beau Dsert Estate at the correct altitude. Might be +/- 200m or more,,,,,,,,,,,,,,,,,,,,
