BEESTON-CHILWELL-ROAD (COUNCIL DEPOT),,,,,,,,,,,,,,,,,,,,
Grid ref,SK5235336527,Long,-1.2227331,Lat,52.923613,Elevation,120,ft,,,,,,,,,,,,
Station no,RR4393,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,1.58,1.48,1.69,2.42,1.07,3.36,3.38,2.56,4.41,,,1.76,3.86,2.17,1.59,2.36,,,,
February,2.73,0.4,2.44,0.57,2.27,1.82,3.15,0.71,1.15,,,0.32,0.46,,2.16,2.9,,,,
March,0.43,1.42,2.78,1.79,0.62,1.35,2.22,0.22,1.84,,,1.68,0.77,,0.69,0.71,,,,
April,3.49,2.7,1.29,2.14,2.77,1.54,2.79,0.06,1.8,,,1.44,0.68,2.39,1.82,1.19,,,,
May,2.94,7.21,1.76,0.99,0.28,0.39,2.22,1.95,0.91,,,2.82,3.06,1.2,2.2,1.1,,,,
June,4,1.1,1.62,0.58,3.52,2.84,0.39,1.36,1.71,,,0.76,1.38,1.33,2.2,3.01,,,,
July,5.14,4.16,2.06,1.9,0.29,4.93,3.25,3.03,3.76,,,2.87,0.71,2.11,2.3,1.54,,,,
August,3.82,1.32,0.7,1.95,2.17,0.81,0.31,1.78,3.36,,,2.89,1.78,4.55,2.06,3.95,,,,
September,3.01,1.73,1.6,2,4.48,3.02,1.02,2.41,0.61,,,0.88,2.06,3.21,1.83,3.23,,,,
October,0.55,2.69,3.45,0.99,2.9,1.31,3.33,2.69,2.51,,,1.9,1.82,2.25,3.52,1.11,,,,
November,2.69,1.77,1.14,2.12,3.96,1.67,1.49,2.35,3.95,,,1.53,1.75,3.88,,,,,,
December,0.84,0.63,0.33,4.03,3.08,1.26,2.55,3.4,1.6,,,1.95,0.77,1.07,1.81,,,,,
Total,31.22,26.61,20.86,21.48,27.41,24.3,26.1,22.52,27.61,,,20.8,19.1,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1944 Feb Mar estimated,,,,,,,,,,,,,,,,,,,,
1945 Nov estimated,,,,,,,,,,,,,,,,,,,,
1947 Gauge moved to Sewage Farm approx 1 mile SE,,,,,,,,,,,,,,,,,,,,
