"BEESTON (COUNCIL DEPOT) (SEWAGE FARM)",,,,,,,,,,,,
Grid ref,SK541364,Long,-1.196772,Lat,52.922298,,,,,,,
Station no,RR4393,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.68,2.54,0.90,1.22,1.78,2.57,1.24,2.45,2.70,4.34,,
February,2.29,0.55,1.41,2.27,1.62,0.42,2.12,2.62,0.19,1.64,,
March,3.16,2.22,1.37,1.90,2.25,0.75,2.10,1.46,0.76,1.34,,
April,1.62,1.63,1.77,0.27,1.00,1.38,0.21,0.75,2.29,0.90,,
May,2.78,3.13,1.80,2.26,3.43,0.47,1.06,1.86,0.35,1.13,,
June,1.27,2.12,2.75,2.59,3.54,2.98,1.34,4.36,1.08,2.08,,
July,0.60,0.43,1.81,1.86,0.70,2.48,2.84,4.05,1.64,3.07,,
August,5.10,2.14,2.29,4.04,0.36,5.83,4.12,2.53,0.96,3.56,,
September,1.26,2.01,1.24,2.46,0.60,2.09,5.66,1.93,0.03,3.93,,
October,0.86,2.18,2.25,2.89,1.64,1.38,1.14,2.36,1.97,4.19,,
November,5.09,1.59,1.20,4.40,1.28,0.75,1.84,1.23,1.91,2.57,,
December,1.96,2.37,0.79,2.13,1.70,2.06,1.72,2.59,2.79,2.97,,
Total,28.67,22.91,19.58,28.29,19.90,23.16,25.39,28.19,16.67,31.72,,
Calc annual,28.67,22.91,19.58,28.29,19.90,23.16,25.39,28.19,16.67,31.72,,
Difference,0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
