"ESKDALEMUIR (FAULDBRAE)",,,,,,,,,,,,
Grid ref,NY231959,Long,-3.211265,Lat,55.251260,,,,,,,
Station no,5040/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.81,5.00,2.80,4.62,4.94,3.28,7.92,5.56,3.49,6.81,,
February,3.80,1.09,1.91,3.25,1.89,1.40,4.25,5.03,2.16,8.21,,
March,3.81,2.92,0.77,3.53,2.30,2.47,4.81,2.02,3.89,2.01,,
April,2.62,3.55,3.55,1.19,3.12,1.08,2.46,2.35,4.27,6.35,,
May,1.73,2.41,2.71,5.37,4.20,3.12,2.15,4.58,1.41,2.92,,
June,2.10,4.85,2.12,5.94,3.01,2.53,1.76,3.16,3.70,2.55,,
July,4.32,3.21,9.75,5.17,3.22,7.56,4.14,6.98,5.11,5.78,,
August,6.90,4.63,5.63,5.48,1.63,7.96,5.49,6.47,0.92,5.36,,
September,6.78,1.94,4.90,9.56,3.95,4.21,4.48,6.45,1.86,4.80,,
October,0.48,4.52,3.57,10.85,2.93,4.00,6.98,4.64,5.06,3.24,,
November,9.96,3.51,7.40,10.04,2.21,1.90,1.85,1.66,9.94,7.22,,
December,6.90,4.72,3.50,5.80,6.13,6.72,5.47,4.94,8.65,5.06,,
Total,55.21,42.35,48.61,70.80,39.53,46.23,51.76,53.84,50.46,60.31,,
Calc annual,55.21,42.35,48.61,70.80,39.53,46.23,51.76,53.84,50.46,60.31,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
