CHIPSTEAD-EYHURST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ262559,Long,-0.1911,Lat,51.288262,Elevation,538,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR8065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,,1.49,2.31,1.67,3.44,4.16,0.88,4.56,1.26,1.62,3.44,4.32,3.55,2.7,3.77,2.11,3.12,3,4.06,,,,
February,,,,,,,,,,1.37,4.2,1.53,2.26,1.17,4.44,4.8,4.53,1.15,1.49,2.33,0.78,0.31,3.06,4.9,0.92,4.56,2.98,,,,
March,,,,,,,,,,3.64,1.28,2.1,4.5,2.83,4.55,0.73,4.33,1.79,1.27,4.37,2.36,1.85,2.47,2.27,1.33,0.8,0.43,,,,
April,,,,,,,,,,2.28,2,2.23,0.06,3.2,1.07,1.49,1.22,2.65,3.95,3.34,3.84,1.54,3.5,2.5,3.86,3.69,,,,,
May,,,,,,,,,,1.67,2.31,3.46,1.42,2.39,1.17,2.75,2.68,1.58,2.18,0.15,0.7,2.2,1.26,3.2,3.81,2.49,,,,,
June,,,,,,,,,,3.6,2.17,2.64,3.42,0.4,0.82,1.11,2.34,1.87,1.05,1.02,1.9,0.14,1.46,0.52,3.03,0.21,,,,,
July,,,,,,,,,,3.77,2.88,0.36,1.67,2.92,2.25,4.03,1.54,5.18,5.3,2.04,5.9,0.67,4.22,4.13,3.95,4.06,,,,,
August,,,,,,,,,,2.59,2.72,0.43,6.29,2.11,1.2,2.3,2.85,5.98,0.97,2.76,1.78,1.88,2.69,3.03,3.67,2.52,,,,,
September,,,,,,,,,,3.67,1.18,1.02,4,1.84,0.99,2.72,1.92,2.03,5.5,1.7,4.01,1.26,2.33,1.83,3.81,3.24,,,,,
October,,,,,,,,,,5.03,2.92,4.5,3.14,3.28,1.72,2.32,4.86,4.24,1.71,0.76,1.18,0.88,1.34,7.17,4.24,3.58,,,,,
November,,,,,,,,,,1.02,3.69,5.02,2.56,3.23,3.96,2.92,5.67,1.75,2.83,1.92,2.22,1.71,2.32,2.12,3.71,3.27,,,,,
December,,,,,,,,,,4.18,4.46,7.06,3.51,1.3,8.93,5.84,3.33,2.16,2.91,5.46,3.13,1.99,5.09,3.29,5.01,3.32,,,,,
Total,,,,,,,,,,34.31,32.12,32.02,36.27,28.83,31.98,35.57,36.53,32,32.6,30.17,31.35,17.13,33.51,37.07,40.46,34.74,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920 Observations at 7.40 am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
