SOUTH-CROYDON-BRAMLEY-HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ321646,Long,-0.10373,Lat,51.36517,Elevation,206,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,1.57,1.02,0.75,1.04,2.59,2.73,0.4,1.89,3.04,1.75,0.7,1.91,0.75,2.87,3.36,0.76,0.77,2.26,4.18,1.07,4.3,1.24,1.62,
February,,,,,,,0.4,0.49,0.25,2.08,0.96,0.05,1.58,3.33,1.88,0.27,0.39,2.09,1.41,2.66,4.53,1.52,1.01,1.72,3.14,0.91,2.13,1.62,1.22,
March,,,,,,,1.04,1.18,2.96,2.34,1.8,2.13,1.31,0.48,1.2,1.38,3.37,4.12,1.31,0.74,0.93,2.7,1.82,2.51,1.46,3.01,1.2,0.86,2.99,
April,,,,,,,1.63,2.05,2.21,2.16,2.01,0.64,1.16,0.12,2.11,1.5,0.78,1.4,1.11,2.52,0.86,2.21,0.62,1.75,1.22,1.76,0.61,3.88,2.63,
May,,,,,,,4.61,1.49,0.73,3.24,1.63,2.83,1.11,0.69,1.43,0.51,0.23,1.7,3.18,1.81,1.45,1.23,2.67,3.63,2.55,1.16,1.42,1.95,2.28,
June,,,,,,,0.85,1.08,2.79,1.34,2.37,0.97,3.09,0.69,2.51,0.45,2.93,2.1,1.58,0.9,2.92,1.45,4.23,7.25,0.89,5.55,2.41,1.64,2.06,
July,,,,,,,2.69,2.23,6.42,2.58,3.94,4.1,2.12,2.48,3.86,3.55,2.13,1.14,0.85,0.74,1.1,1.46,1.34,4.17,1.46,0.91,0.63,0.94,3.33,
August,,,,,,,,2.94,2.6,2.48,2.35,4.65,3.78,0.62,2.83,2.35,2.35,2.78,1.15,0.84,3.3,2.07,3.29,4.15,1.76,2.41,1.45,2.46,3.39,
September,,,,,,,2.07,2.25,0.94,0.95,0.59,0.98,2.05,1.15,1.71,0.57,7.68,2.66,0.53,2.48,0.83,1.18,1.1,2.12,1.23,2.1,1.57,0.78,1.35,
October,,,,,,,2.19,2.17,1.43,4.25,1.17,6.71,4.09,3.47,5.25,2.6,3.8,0.72,3.14,2.41,1.93,2.91,1.68,5.1,1.88,1.27,3.95,3.57,2.31,
November,,,,,,,3.74,4.74,4.03,0.82,1.94,2.89,2.35,2.3,4.47,4.05,1.58,1.21,3.34,4.67,2.45,0.69,2.03,2.4,1.49,3.97,4.61,2.61,0.73,
December,,,,,,,2.87,1.47,1.59,1.41,0.25,3.54,1.55,2.63,1.75,2.33,3.5,3.02,3.04,1.7,2.67,3.96,1.44,2.25,2.48,0.53,2.37,3.07,2.47,
Total,,,,,,,,23.11,26.7,24.69,21.6,32.22,24.59,19.85,32.04,21.31,29.44,24.85,21.39,24.34,26.33,22.14,22,39.31,23.74,24.65,26.65,24.62,26.38,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lived at no 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data received in 1906 so copying of elevation data might have been an error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alt on sheets is 306ft but that is impossible here 206ft about right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
