HONITON-COTLEIGH-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST207022,Long,-3.126971,Lat,50.813899,Elevation,540,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1823/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,0.74,6.97,7.6,5.35,7.41,2.96,6.14,5.22,11.46,3.29,3.34,6.13,4.62,8.32,1.08,1.01,4.76,3.94,0.99,2.26,4.96,4.55,3.6,4.55,5.86,3.55
February,,,,0,4.92,3.92,8.22,1.9,2.92,5.01,5.35,0.5,1.94,1.03,3.62,3.78,2.07,2.02,2.14,7.1,7.45,1.01,2.08,4.43,3.91,0.17,6.7,4.79,0.36,5.16
March,,,,3.2,1.22,4.93,6.34,0.3,1.85,3.45,2.91,3.79,1.83,0.17,1.04,1.82,8.24,2.04,1.93,2.64,4.92,3.99,0.85,4.55,2.08,1.62,4.44,2.04,5.37,2.19
April,,,,4.65,5.46,2.58,3.58,0.1,3.37,3.14,2.08,2.63,1.48,2.68,1.02,2.22,3.33,3.19,2.17,3.01,2.33,3.42,3.55,0.38,1.25,1.25,0.28,1.16,3.48,3.74
May,,,,1.61,1.72,0.58,3.05,3.16,0.9,2.54,2.46,7.68,2.88,1.11,4.8,6.24,3.59,4.21,2.85,2.39,3.25,5.86,3.22,2.75,4.28,0.79,2.76,3.43,1.15,2.09
June,,,,2.45,4.25,1.78,1.88,2.45,3.68,0.9,1.78,0.83,2.15,2.74,3.59,3.98,2.76,3.13,0.83,1.49,1.07,2.81,3.18,4.6,4.44,2.17,4.31,3.05,1.65,1.34
July,,,,2.9,0.42,8.55,3.95,5.2,5.73,3.4,1.57,2.36,3.52,3.27,2.67,1.56,2.83,2.18,1.45,5.68,2.36,2.08,3.57,3.27,2.53,3.51,3.71,2.65,2.5,4.17
August,,,,4.53,2.81,0.28,0.95,3.67,2.72,0.23,4.94,6.01,4.24,3.5,3.19,5.56,1.59,5.01,2.13,6.35,5.65,5.09,2.95,3.07,0.33,4.62,4.38,4.12,2.05,5.3
September,,,,3.33,4.34,4.22,3.2,2.35,1.08,2.23,1.62,3.88,3.38,3,3.16,9.46,1.9,2.06,3.56,5.11,5.34,3.72,5.23,4.37,1.83,7.11,3.63,5.82,0.12,6.74
October,,,,2.64,5.04,2.11,4.64,4.48,5.41,6.53,2.37,4.47,4.82,7.54,6.45,2.66,1.02,3.39,8.43,2.41,1.33,7.11,5.61,3.78,2.34,2.04,2.55,3.4,3.41,12.26
November,,,,1.86,7.07,4.11,2.58,7.17,8.95,9.99,4.21,1.28,3.41,7.55,2.79,9.14,3.09,2.98,5.7,8.13,9.12,4.95,2.15,7.65,7.23,1.35,1.85,2.94,8.71,6.14
December,,,,14.06,5.92,4.56,4.93,5.27,2.63,3.96,2.94,6.27,4.98,4.91,7.22,5.77,3.59,8.73,2.04,3.76,3.87,4.42,1.5,4.05,6.58,7.2,4.6,5.71,10.21,4.33
Total,,,,,43.91,44.59,50.92,41.4,46.65,44.34,38.37,44.92,46.09,40.79,42.89,58.32,38.63,47.26,34.31,49.08,51.45,48.4,34.88,45.16,41.76,36.38,42.81,43.66,44.87,57.01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936 Aug Gauge moved 15yds S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959 Not printed Low Several omissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post 1960 known as Cotleigh House SRC_ID 8095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935-1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
