"SOYLAND MOOR (BYRON EDGE)",,,,,,,,,,,,
Grid ref,SD973192,Long,-2.042342,Lat,53.669269,,,,,,,
Station no,3221,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.34,4.82,2.10,4.66,3.25,6.01,5.86,4.82,3.75,5.20,,
February,3.66,1.60,2.27,3.42,2.70,1.63,3.44,6.91,0.80,3.26,,
March,5.44,3.51,2.74,3.20,2.28,2.14,4.52,2.50,2.33,1.59,,
April,3.29,3.67,3.98,0.99,2.59,3.59,0.57,1.49,4.43,3.72,,
May,3.23,2.20,3.74,3.88,4.67,2.12,1.93,5.05,2.21,2.32,,
June,1.76,4.01,3.35,4.00,3.86,3.92,3.27,5.65,2.49,2.16,,
July,5.80,2.60,7.99,7.13,1.32,9.24,5.82,4.61,3.87,7.91,,
August,6.47,6.78,6.22,7.78,1.61,12.82,7.55,7.02,0.82,6.47,,
September,3.61,4.66,4.28,7.57,3.78,5.06,6.64,4.94,0.67,3.30,,
October,1.60,6.34,2.77,10.49,3.47,3.91,8.38,4.61,6.63,5.58,,
November,10.02,3.22,6.58,7.51,3.24,2.18,3.19,1.91,5.11,8.68,,
December,9.08,4.80,2.34,7.97,7.72,4.77,6.41,5.15,9.36,6.12,,
Total,59.30,48.21,48.36,68.60,40.49,57.39,57.58,54.66,42.47,56.31,,
Calc annual,59.30,48.21,48.36,68.60,40.49,57.39,57.58,54.66,42.47,56.31,,
Difference,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
