"SKYE, NEIST POINT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NG 126 471,Long,-6.788007,Lat,57.423377,Elevation,65,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,3.78,4.4,4.56,4.92,4.75,5.58,1.37,2.67,4.06,4.64,4.28,1.69,3.39,0.74,,,6.77,10.67,2.16,7.49,6.18,9.69,6.2,9.83,5.4,2.71,4.55,8.84,,
February,,8.24,5.41,3.8,7.06,3.95,4.99,0.85,3.55,0.6,4.55,0.47,0.93,0.68,1.12,,,3.81,4.67,1.87,0.78,5.45,0.51,4.36,1.76,5.22,2.77,4.09,5.6,,
March,,2.13,5.03,6.75,2.76,2.53,1.37,2.24,0.97,1.92,2.68,2.6,0.27,0.4,2.65,,,4.35,4.02,1.35,4.19,1.64,2.73,2.76,4.35,2.33,2.66,1.86,5.62,,
April,,4.65,4.06,4.1,3.34,4.6,2.78,1.64,0.54,1.31,0.76,0.61,0.3,1.17,0.5,,,4.83,1.94,1.65,2.46,2.26,4.03,3.61,9.97,1.75,1.55,1.97,0.51,,
May,,2.98,3.8,2.87,1.76,0.61,3.04,2.44,1.22,1.09,2.49,0.58,1.49,1.34,0.75,,,2.42,2.15,3.31,1.6,3.18,1.65,0.98,2.78,1.37,2.45,2.34,3.83,,
June,,1.93,5.59,3.87,2.15,0.72,1.49,1.36,1.15,2.16,0.93,0.71,1.02,0.46,0.75,,,3.8,2.53,3.42,3.43,4.28,2.55,3.92,3.87,3.94,2.38,3.04,5.54,,
July,2.75,5.43,3.13,1.16,2.74,2.42,1.61,0.61,1.89,1.23,0.79,0.43,1.67,1.2,1.4,,,4.11,3.09,3.33,1.26,2.86,4.02,2.6,5.57,1.92,2.42,3.22,2.89,,
August,7.54,4.33,4.57,3.02,3.4,1.74,1.24,1.76,4.77,2.23,1.97,1.73,0.99,1.41,0.94,,,2.35,3.44,6.22,4.87,0.93,5.34,6.69,7.77,4.09,4.32,4.54,3.42,,
September,2.35,4.92,2.59,3.58,4.9,1.25,1.85,3.09,1.65,1.62,1.35,0.84,0.37,2.14,1.21,,,3.81,3.86,5.84,3.53,1.19,4.72,0.8,5.63,5.29,3.12,4.22,4.59,,
October,4.14,4.48,7.73,5.92,3.01,2.22,4.79,6.04,1.95,0.94,1.92,1.49,1.38,4.21,1.4,,,6.97,7.56,6.77,7.98,4.9,7.81,5.91,10.37,10.51,6.24,2.81,12.42,,
November,5.33,7.57,9.09,7.65,4.74,2.81,4.62,4.41,2.3,2.42,3.36,1.71,1.38,2.59,2.1,,,6.08,7.78,4.79,4.17,7.65,5.65,3.13,3.96,5.08,4.94,2.52,7.11,,
December,4.95,9.18,11.81,5.28,5.71,5.86,3.11,1.91,2.65,5.26,1.53,5.91,3.04,1.89,2.22,,,1.08,6.41,7.69,7.75,4.43,4.93,3.66,5.39,3.19,8.5,2.47,4.43,,
Total,,59.62,67.21,52.56,46.49,33.46,36.47,27.72,25.31,24.84,26.97,21.36,14.53,20.88,15.78,,,50.38,58.12,48.4,49.51,44.95,53.63,44.62,71.25,50.09,44.06,37.63,64.8,,
