"SOUTH BRENT (BADWORTHY)",,,,,,,,,,,,
Grid ref,SX685617,Long,-3.853205,Lat,50.440374,,,,,,,
Station no,1678,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,9.34,8.54,2.16,3.40,9.16,7.54,9.23,9.50,13.73,7.67,,
February,8.18,1.17,3.39,8.12,6.33,0.55,10.60,5.19,0.59,8.82,,
March,9.02,7.38,1.14,6.69,2.63,2.38,7.69,3.85,10.05,5.46,,
April,5.14,6.17,4.22,1.60,2.51,1.75,0.85,1.68,7.19,5.68,,
May,3.12,3.26,6.47,4.44,7.13,2.01,4.07,5.67,2.04,2.76,,
June,1.95,2.95,4.75,5.72,-999.00,4.33,2.88,5.14,3.03,2.79,,
July,2.13,2.46,7.10,7.39,2.15,5.53,8.19,5.91,2.41,7.52,,
August,11.78,7.65,4.47,5.31,0.72,7.47,6.52,10.40,3.15,6.14,,
September,7.53,6.38,5.92,9.17,2.97,12.10,8.21,10.10,0.41,9.94,,
October,1.98,8.89,4.75,8.18,4.50,4.65,6.88,8.17,7.65,11.36,,
November,12.03,7.50,5.01,13.86,8.00,2.27,3.39,5.51,13.84,13.58,,
December,8.19,6.63,1.46,8.42,11.62,8.88,7.22,7.03,18.11,7.85,,
Total,80.39,68.98,50.84,82.30,63.59,59.46,75.73,78.15,82.20,89.57,,
Calc annual,80.39,68.98,50.84,82.30,57.72,59.46,75.73,78.15,82.20,89.57,,
Difference,0.00,0.00,0.00,0.00,5.87,0.00,0.00,0.00,0.00,0.00,,
