KENTISBURY,,,,,,,,,,,,,,,,,,,,
Grid ref,SS615426,Long,-3.98106,Lat,51.16662,Elevation,557,ft,,,,,,,,,,,,
Station no,1850/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,5.55,7.56,3.5,5.37,1.51,4.86,7.11,8.12,7.07,3.87,3.47,6.15,,,,,,,,
February,6.14,0.12,3.66,0.54,6.2,2.35,8.31,2.47,3.11,4.52,4.91,0.43,,,,,,,,
March,1.82,3.39,4.31,3.46,1.33,2.4,4.1,1.17,2.81,3.65,6.18,3.67,,,,,,,,
April,4.1,3.09,2.55,3.49,6.35,3.24,4.31,0.35,3.36,3.84,1.14,2.19,,,,,,,,
May,3.69,4,2.24,2.31,2.1,0.64,2.67,3.45,1.65,1.56,2.77,5.33,,,,,,,,
June,4.66,1.48,1.69,2.92,5.5,2.79,1.57,3.69,2.53,0.88,1.3,0.63,,,,,,,,
July,7.33,5.76,3.6,0.75,1.4,7.82,3.5,3.74,8.23,6.59,2.87,4.92,,,,,,,,
August,5.87,1.5,2.11,5.35,3.92,1.85,1.76,9.29,3.64,0.58,7.09,5.41,,,,,,,,
September,2.92,6.63,2.02,4.46,8.28,4,6.02,2.53,0.75,3.61,0.63,5.76,,,,,,,,
October,1.54,13.2,6.4,6.09,7.48,4.23,3.87,8.27,3.39,6,4.1,6.2,,,,,,,,
November,7.64,3.64,1.59,4.28,7.49,7.04,3.05,8.58,14.87,10.56,2.69,2.09,,,,,,,,
December,3.64,3.46,1.6,12.6,5.64,6.04,5.18,5.88,3.14,4.92,6.13,7.68,,,,,,,,
Total,54.9,53.83,35.27,51.62,57.2,47.26,51.45,57.54,54.55,50.58,43.28,50.46,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Loverings House Ford Hill,,,,,,,,,,,,,,,,,,,,
Rainfall printed in local paper Nothing before 1931,,,,,,,,,,,,,,,,,,,,
1942 Station terminated as observer left district,,,,,,,,,,,,,,,,,,,,
