"BUXTON PORTOBELLO BAR",,,,,,,,,,,,
Grid ref,SK032712,Long,-1.953513,Lat,53.237821,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,6.66,4.34,4.88,5.94,5.77,3.96,7.92,2.61,4.58,3.18,,
February,6.15,3.37,2.95,4.75,5.52,3.88,5.29,3.04,5.70,2.68,,
March,1.55,3.71,4.40,6.15,2.56,6.37,4.81,4.62,5.16,5.51,,
April,3.60,4.40,3.08,3.59,3.75,4.73,2.35,3.24,3.81,3.88,,
May,2.11,1.79,5.91,3.60,3.80,1.18,5.03,4.81,5.05,2.99,,
June,6.72,3.66,2.08,1.19,1.12,2.74,1.82,10.79,3.08,3.62,,
July,5.20,2.60,4.77,4.76,3.26,3.67,2.85,4.84,5.82,8.24,,
August,6.19,3.29,4.62,7.93,5.99,5.30,4.10,7.07,5.44,4.02,,
September,2.32,2.07,2.52,7.68,3.41,3.57,2.74,1.44,4.88,4.01,,
October,7.65,6.17,8.10,12.26,2.31,5.35,8.22,6.79,1.89,9.21,,
November,4.79,6.65,3.25,6.12,4.69,6.25,5.25,4.75,5.02,2.35,,
December,7.96,11.73,4.70,3.34,2.74,1.32,6.70,5.09,4.54,9.36,,
Total,60.90,53.78,51.26,67.31,44.92,48.32,57.08,59.09,54.97,59.05,,
Calc annual,60.90,53.78,51.26,67.31,44.92,48.32,57.08,59.09,54.97,59.05,,
Difference,0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,-0.00,,
