"BUXTON (PORTOBELLO BAR)",,,,,,,,,,,,
Grid ref,SK032712,Long,-1.953513,Lat,53.237821,,,,,,,
Station no,2677,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.39,6.43,2.94,5.29,3.39,7.35,4.28,5.79,5.05,7.39,,
February,6.14,2.94,2.12,4.41,2.96,1.08,3.67,9.75,1.08,4.46,,
March,8.17,4.13,3.09,3.70,3.20,2.88,5.26,2.73,3.42,2.09,,
April,3.59,5.05,4.49,1.18,3.86,2.80,0.62,2.59,4.41,2.92,,
May,2.59,2.53,2.78,4.15,5.05,1.73,2.77,5.48,0.91,2.24,,
June,2.44,4.16,4.28,4.97,4.28,4.33,2.90,8.27,1.70,3.56,,
July,3.89,4.67,7.19,7.89,2.18,8.00,7.66,6.93,4.08,9.68,,
August,6.07,2.98,5.72,6.70,1.75,12.52,7.58,5.04,1.40,5.61,,
September,3.18,5.79,4.40,7.77,3.80,5.17,12.70,7.00,0.25,5.21,,
October,1.52,5.09,2.88,11.11,4.30,4.07,5.17,6.57,4.50,6.44,,
November,12.65,4.03,3.70,8.64,3.68,3.01,2.35,2.42,5.01,7.29,,
December,7.28,4.53,2.82,8.53,6.45,6.41,7.18,5.73,9.07,6.29,,
Total,62.91,52.33,46.41,74.34,44.90,59.35,62.14,68.30,40.88,63.18,,
Calc annual,62.91,52.33,46.41,74.34,44.90,59.35,62.14,68.30,40.88,63.18,,
Difference,-0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
