THORNTON LE MOOR,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE390881,Long,-1.402,Lat,54.287,Elevation,126,ft,,,,,,,,,,,,,,,,,,,
Station no,RR3012,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921
January,3.97,0.87,1.87,0.53,2.86,2.74,1.23,0.62,2.85,2.46,0.49,3.02,0.57,1.37,0.66,2.54,1.24,3.21,3.43,1.23,3.01,0.42,3.33,2.25,2.65,3.22,2.67
February,0.53,0.57,1.17,1.48,1.57,4.68,2.20,1.19,1.23,1.91,0.77,1.52,1.43,1.78,0.85,2.54,0.67,1.76,0.98,1.30,3.14,2.78,0.74,1.87,1.19,0.93,0.19
March,2.71,2.36,2.53,1.90,1.32,0.91,2.12,0.75,2.68,1.53,1.81,1.54,1.02,2.41,3.64,0.60,1.69,3.12,2.13,1.58,1.43,2.66,2.22,1.09,2.62,2.30,0.93
April,1.14,0.61,1.80,3.51,3.30,1.12,1.83,1.80,1.29,1.35,2.67,0.91,2.30,2.70,2.42,2.21,1.14,0.02,3.37,0.61,0.92,1.06,1.84,1.44,1.76,3.31,1.17
May,0.49,0.56,1.22,1.36,3.42,1.42,0.68,2.65,3.42,4.77,1.48,3.35,3.51,1.75,1.74,2.31,0.91,2.62,1.85,1.49,1.32,2.49,0.87,2.21,0.93,2.44,1.50
June,1.76,3.70,2.81,2.41,1.48,3.55,1.43,2.02,1.97,1.41,1.17,1.62,4.01,0.59,2.15,1.97,3.19,5.34,1.24,2.59,1.22,2.02,2.05,1.04,1.32,0.81,0.35
July,2.70,1.99,0.98,1.46,2.34,1.18,2.39,2.39,3.62,1.39,1.19,1.65,1.84,3.73,2.78,2.83,0.51,4.60,0.82,4.53,4.38,1.99,1.15,4.14,2.21,5.01,1.50
August,2.54,2.06,5.72,2.72,1.26,5.73,2.17,2.27,2.57,2.93,2.42,2.46,2.27,1.79,3.82,3.35,2.39,4.16,1.10,1.32,2.60,1.77,7.32,2.34,2.83,1.64,4.07
September,1.14,2.78,2.31,0.54,3.35,0.73,1.52,0.87,2.89,1.97,2.19,0.40,0.56,2.73,2.24,0.35,2.24,1.90,1.95,1.37,1.00,2.04,0.48,5.85,0.58,1.12,
October,3.52,4.50,1.89,2.50,2.01,4.51,1.87,2.18,7.16,0.76,1.69,4.87,4.05,1.67,2.50,2.53,2.07,2.01,1.60,1.60,1.26,2.92,2.96,2.07,4.84,2.25,
November,2.88,1.49,1.79,3.08,1.46,3.08,4.04,1.57,1.37,2.37,4.02,2.58,2.50,1.33,0.97,2.80,3.11,2.01,1.97,2.42,1.50,2.10,1.36,1.49,2.73,1.00,
December,2.02,3.53,2.73,1.58,2.71,1.92,3.66,1.63,1.13,2.07,0.45,2.33,2.88,1.41,4.06,2.58,4.28,1.27,2.18,4.27,4.46,1.73,1.79,3.02,3.06,2.79,
Total,25.40,25.02,26.82,23.07,27.08,31.57,25.14,19.94,32.18,24.92,20.35,26.25,26.94,23.26,27.83,26.61,23.44,32.02,22.62,24.31,26.24,23.98,26.11,28.81,26.72,26.82,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_17_pt1/177,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_22_pt1/113,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_20_pt1/225,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_23_pt1/193,,,,,,,,,,,,,,,,,,,,,,,,,,,
