"PITSEA PUMPING STATION",,,,,,,,,,,,
Grid ref,TQ729874,Long,0.492828,Lat,51.558981,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,0.81,,
February,,,,,,,,,,0.81,,
March,,,,,,,,,,1.99,,
April,,,,,,,,,,1.50,,
May,,,,,,,,,,0.97,,
June,,,,,,,,,,2.82,,
July,,,,,,,,,,3.14,,
August,,,,,,,,,,2.00,,
September,,,,,,,,,,2.11,,
October,,,,,,,,,,3.76,,
November,,,,,,,,,,0.86,,
December,,,,,,,,,,2.63,,
Total,,,,,,,,,,23.40,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.40,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,,
