"PITSEA (PUMPING STATION)",,,,,,,,,,,,
Grid ref,TQ729874,Long,0.492828,Lat,51.558981,,,,,,,
Station no,1258,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.80,1.60,,,,,,,,,,
February,5.03,1.00,,,,,,,,,,
March,2.53,2.99,,,,,,,,,,
April,2.94,1.03,,,,,,,,,,
May,2.25,0.88,,,,,,,,,,
June,0.98,2.43,,,,,,,,,,
July,2.74,0.68,,,,,,,,,,
August,2.97,1.58,,,,,,,,,,
September,2.66,3.43,,,,,,,,,,
October,0.66,2.05,,,,,,,,,,
November,3.37,,,,,,,,,,,
December,1.59,,,,,,,,,,,
Total,29.52,,,,,,,,,,,
Calc annual,29.52,17.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
