CRICKHOWELL GLANUSK PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO193196,Long,-3.173494,Lat,51.869115,Elevation,290,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,4187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,4.48,8.41,8.22,6,11.08,3.69,2.1,11.72,11.5,5.76,7.3,4.22,9.18,1.82,3.4,,,,,,,,,,,-999,3.27,2.13,2.82,5.98,5.05,0.57,3.13,0.45,8.71,4.2,3.07,2.97,5.68,7.38,1.33,7.58,2.15,1.5,2.47,4.87,1.14,5.05,6.7,1.4,4.27,,,5.27,6.05,7.1,5.09,,,6.61,7.39,6.5,8.15,7.73,1.73,10.96,3.22,9.26,5.27,6.6,1.24,7.77,8.65,6.62,9.27,3.49,6.31,3.56,11.06,4.82,3.54,6.11,4.89,10.06,1.67,1.21,5.33,4.52,1.01,3.06,,,,,,,,
February,,,,,,3.89,7.15,3.22,2.01,5.98,4.5,2.79,6.6,1.51,4.7,3.15,4.91,3.04,2.01,3.88,,,,,,,,,,,-999,0.56,3.08,5.65,3.87,0.21,0.56,2.74,1.68,6.51,7.04,1.11,1.8,4.84,6.84,1.37,3.39,2.18,1.87,1,8.04,3.33,3.36,3.44,9.32,9.55,,,3,4.29,1.22,0.27,,,0.91,7.74,3.06,4.28,4.35,1.06,0.73,3.41,0.22,6.17,0.36,4.65,3.01,7.6,1.44,3.65,4.46,5.34,0.43,4.36,0.89,4.47,4.15,3.02,2.87,2.08,8.72,7.26,0.8,1.82,3.92,,,,,,,,
March,,,,,,1.97,4.1,5.45,5.15,1.67,2.71,2.7,4.96,3.93,2.18,1.68,5.33,2.03,1.09,2.81,,,,,,,,,,,-999,2.17,1.42,0.65,4.53,3.52,3.93,7.51,1.53,2.12,1.76,5.78,2.22,8.69,2.7,7.21,2.53,1.76,4.94,4.65,2.47,1.73,8.56,9.9,6.27,0.55,,,2.91,5.74,6.86,4.83,,,2.22,1.23,0.62,4.61,5.33,0.73,3.74,0.73,2.8,4.36,3.39,0.99,3.82,5.68,0.1,2.47,3.28,3.92,3.69,0.88,0.4,2.01,1.95,10.89,2.72,1.57,3.13,4.94,2.63,2.58,3.97,,,,,,,,
April,,,,,,0.61,2,3.19,3.59,1.65,0.55,2.42,3.45,0.75,1.45,2.72,3.9,3.33,2.06,1.11,,,,,,,,,,,-999,1.57,0.98,0.15,3.21,2.61,0.87,4.02,2.78,3.21,1.9,4.64,3.12,1.67,2.47,3.21,0.99,4.38,2.12,3.16,3.27,2.14,0.25,8.21,2.08,1.56,,,2.39,1.79,8.55,0.64,,,4.31,3.12,2.78,1.16,1.36,1.15,5.11,3.82,4.66,0.83,3.31,6.28,2.82,2.91,0.19,3.1,4.38,1.03,3.29,1.01,1.64,2.33,2.02,5.86,3.34,4.2,2.95,3.75,3.53,4.54,0.81,,,,,,,,
May,,,,,,3.93,1.87,5.89,2.33,4.44,2.32,0.97,1.51,2.68,0.35,3.52,0.05,3.28,5.2,4.31,,,,,,,,,,,-999,4.94,1.44,3.64,2.72,0.39,0.23,1.75,4.55,2.73,3.28,1.17,2.36,4.69,3.09,1.48,2.78,4.18,2.35,1.11,1.73,2,1.75,3.31,2.52,4.01,,,2.14,0.34,3.13,1.27,,,4.8,4.54,1.89,1.04,1.13,4.41,1.3,4.62,5.42,2.64,2.33,1.36,2.03,1.83,3.41,0.7,2.39,2.75,6.62,5.42,1.27,3.82,5,3.15,3.6,3.79,1.78,3.06,4.45,2.22,2.43,,,,,,,,
June,,,,,,1.08,3.61,1.32,0.44,1.01,0.2,3.97,3.77,1.5,1.28,3.82,1.27,2.98,5.27,6.08,,,,,,,,,,,1.64,3.01,3.26,1.37,2.31,0.83,3.66,3.06,1.88,1.41,1.66,1.66,3.05,2.22,1.19,2.83,1.91,3.89,1.07,3.97,6.93,3.06,3.27,1.3,2.11,0.92,,,0.89,1.58,4.15,0.65,,,2.25,0.06,2.36,4.14,3.33,3.52,0.93,4.01,1.59,3.29,1.3,4.98,3.13,0.99,2.77,2.51,1.08,1.95,0.12,3.19,2.34,3.73,3.12,2.67,4.74,0.73,1.65,0.9,4.46,1.87,5.13,,,,,,,,
July,,,,,,1.77,1.15,3.19,0.89,0.33,1.19,3.15,5.79,4.1,1.34,5.98,1.85,3.39,2.29,3.29,,,,,,,,,,,2.02,2.09,1.92,3.68,6.08,4.16,1.75,2.02,0.84,0.4,2.04,3,1.92,1.88,2.73,1.7,0.57,3.61,4.81,2.15,2.63,0.27,4.5,1.02,3.95,4.37,,,3.91,1.48,4.49,1.37,,,5.84,3.22,2.21,4.34,2.29,3.28,3.1,2.69,3.1,2.37,1.36,0.55,6.69,3.33,3.08,8.41,3.31,2.92,1.91,1.69,1.89,3.33,1.75,1.96,1.06,0.6,4.15,0.96,1.52,3.3,1.84,,,,,,,,
August,,,,,,3.55,3.14,1.03,5.01,0.92,1.71,2.72,3.41,4,3.72,3.02,3.49,5.05,7.08,6.52,,,,,,,,,,,3.67,5.97,4.89,2.37,3.21,3.12,1.68,6.75,2.89,1.97,5.12,2.44,3.31,5.7,3.11,4.08,2.05,2.13,4.46,1.38,4.73,2.02,9.19,1.85,2.38,2.91,,,2.18,3.29,1.17,4.17,,,5.63,3.7,2.29,6.51,3.67,2.43,4.12,5.08,2.03,0.74,3.19,1.72,0.46,2.29,3.9,2.07,0.14,4.45,4.88,2.58,3.29,3.99,6.31,0.81,4.44,1.8,5.64,4.45,7.19,3.08,3.22,,,,,,,,
September,,,,,,0.85,10.4,2.13,6.2,7.58,1.68,1.99,4,1.72,4.42,4.4,8.2,3,2.9,5.54,,,,,,,,,,,2.09,2.98,2.9,1.5,2.01,1.02,8.12,4.16,0.88,4.18,0.98,3,2.58,5.79,2.12,2.53,1.15,0.74,4.47,2.9,0.38,2.36,1.28,3.01,1.41,0.77,,,8.97,1.35,2.28,1.92,,,8.25,4.16,1.37,4.58,1.16,1.95,5.18,1.9,3.91,2.3,2.2,6.76,3.1,2.1,1.58,0.86,2.48,0.86,2.86,3.88,3.56,3.72,5.81,2.36,3.9,3.22,5.37,4.17,3.8,3.63,3.22,,,,,,,,
October,,,,,,6.7,2.5,4.97,2.55,3.04,5.75,5.81,6.56,3.22,6.08,7.36,4.2,3.6,7.12,0.76,,,,,,,,,,,1.6,11.36,3.77,2.89,5.67,3.49,5.03,3.04,6.37,5.13,6.45,2.87,3.37,10.89,1.12,2.43,6.38,8.32,2.75,8.3,4.02,3.79,5.05,6.27,3.58,5.49,,,2.65,1.95,5.06,1.59,,,4.83,4.98,4.55,3.72,10.52,7.96,4.87,0.73,7.62,5.14,4.03,4.66,2.62,4.48,5.96,4.73,6.88,3.02,2.36,4.49,6.67,7.03,1.54,0.85,3.93,9.84,2.14,1.67,5.76,3.59,5.19,,,,,,,,
November,,,,,,5.92,3,0.51,2.22,2.47,2.16,1.05,11.78,1.46,2.85,6.2,8.1,9,3.12,0.61,,,,,,,,,,,4.43,4.25,3.27,1.61,7.98,10.25,1.09,2.79,3.96,4.19,5.28,1.65,4.99,2.28,2.42,4.89,3.99,2.95,2.44,1.31,6.92,7.23,3.07,5.44,6.48,3.22,,,4.34,2.34,2.9,2.73,,,3.02,2.4,12.43,3.51,7.32,15.42,5.57,11.31,2.68,0.79,1.99,8.13,4.85,1.96,7.3,8.49,10.8,3.91,0.85,3.36,7.57,0.49,10.27,3.81,2.72,5.73,6.43,11.14,3.9,2.87,10.76,,,,,,,,
December,,,,,,5,3.75,2.35,10.98,8.53,1.92,4.56,9.05,4.58,4.88,2.58,10.5,3.3,4.66,2.83,,,,,,,,,,,1.42,8.23,1.74,4.99,3.25,4.22,8.94,11.73,6.43,4.01,8.42,6.16,3.53,4.35,4.19,1.1,2.48,6.12,4.18,8.52,12.24,13.06,5.89,2.41,13.44,9.72,,,5.92,6.94,6.72,4.64,,,9.68,4.1,0.47,3.45,5.62,15.52,5.41,2.59,3.59,1.85,10.35,4.54,9.24,3.67,6.09,2.08,2.31,3.66,7.07,2.45,3.51,7.42,5.46,3.72,12.03,4.17,2.94,5.39,3.77,1.52,3.94,,,,,,,,
Total,,,,,,39.75,51.08,41.47,47.37,48.7,28.38,34.23,72.6,40.95,39.01,51.73,56.02,51.18,44.62,41.14,,,,,,,,,,,31.34,50.4,30.8,31.32,50.82,38.87,36.43,52.7,34.24,44.57,48.13,36.55,35.22,58.68,39.36,34.16,35.8,42.41,36.96,40.92,58.23,42.13,51.22,52.86,54.94,47.34,,,44.57,37.14,53.63,29.17,,,58.35,46.64,40.53,49.49,53.81,59.16,51.02,44.11,46.88,35.75,40.41,45.86,49.54,45.49,42.44,48.34,45,40.12,37.64,44.37,37.85,45.88,53.49,43.99,55.41,39.4,46.11,53.02,46.33,32.03,47.49,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IDR Jan-May 1890 bracketed, so -999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
