"BORGIE, SKERRAY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NC 672 590,Long,-4.281048,Lat,58.498676,Elevation,110,ft,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,
January,,,,,,,1.65,4.03,7.32,2.24,3.88,6.48,5.56,3.28,3.7,5.15,5.48,4.21,6.77,5.16,2.12,3.88,3.73,2.33,,,,,,,,
February,,,,,,,1.86,1.22,3.91,0.92,1.48,6.25,1.19,6.14,4.18,4.83,1.91,5.25,4.04,3.04,1.31,3.29,3.99,4.36,,,,,,,,
March,,,,,,,4.16,2.43,2.25,0.96,3.71,2.6,4.94,1.66,3.18,3.84,1.65,2.55,3.58,3.36,3.73,1.9,1.77,2.95,,,,,,,,
April,,,,,,,1.74,5.79,1.87,2.21,1.58,3.41,4.27,2.17,6.17,2.21,2.27,0.53,2.2,1.97,2.91,1.84,1.14,,,,,,,,,
May,,,,,,,2.18,2.67,2.01,2.31,2.76,3.56,3.19,1.87,2.98,1.6,1.25,1.16,4.27,1.02,1.56,2.82,1.55,,,,,,,,,
June,,,,,,,2.76,4.62,3.58,3.37,2.86,3.6,0.49,1.45,1.31,2.64,0.79,2.45,4.17,2.11,1.82,0.71,2.68,,,,,,,,,
July,,,,,,,2.09,1.85,2.46,1.82,3.66,4.4,4.27,2.65,4.97,2.01,6.52,3.49,7.38,5.25,6.05,1.44,3.93,,,,,,,,,
August,,,,,,,2.54,2.59,2.32,5.06,5.63,0.89,3,4.92,5.84,4.82,2.9,1.88,3.63,2.03,2.89,4.57,2.34,,,,,,,,,
September,,,,,,,3.8,6.67,3.05,5.26,2.85,1.82,5.52,1.08,2.25,6.72,3.77,2.78,2.45,1.7,3.55,1.68,4.29,,,,,,,,,
October,,,,,,,8.53,6.12,3.54,6.33,5.5,4.45,5.07,5.03,7.69,7.06,5.97,2.45,6.81,2.35,3.14,4.72,7.95,,,,,,,,,
November,,,,,,,3.19,4.74,5.47,3.35,8.92,2.21,5.47,3.6,2.85,3.24,3.27,2.61,6.41,5.55,5.73,2.83,3.01,,,,,,,,,
December,,,,,,,4.56,1.21,3.16,7.12,3.04,5.63,3.15,1,2.84,4.14,5.32,2.63,3.09,4.34,4.26,4.38,5.17,,,,,,,,,
Total,,,,,,,39.06,43.94,40.94,40.95,45.87,45.3,46.12,34.85,47.96,48.26,41.1,31.99,54.8,37.88,39.07,34.06,41.55,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943 Gauge move,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
