PEAK FOREST (ELDON HILL),,,,,,,,,,,,
Grid ref,SK121806,Long,-1.819812,Lat,53.322188,,,,,,,
Station no,2681/6/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.63,5.50,2.09,5.55,3.96,7.55,3.50,5.42,4.60,7.92,,
February,3.87,2.80,3.00,3.80,3.10,2.50,3.30,7.72,0.80,3.45,,
March,6.59,2.40,2.85,4.47,4.02,1.83,3.22,3.45,2.30,2.40,,
April,2.57,3.70,3.30,1.10,1.85,2.43,0.53,1.44,3.60,2.20,,
May,2.66,3.30,2.20,3.45,5.28,1.48,1.80,4.70,0.96,2.56,,
June,1.86,2.40,3.40,3.32,3.90,3.70,1.85,5.55,1.71,1.98,,
July,3.20,3.45,5.60,6.14,1.70,7.30,4.50,6.87,2.80,6.95,,
August,6.06,1.35,4.60,6.86,0.70,8.50,7.80,3.32,0.78,5.20,,
September,3.21,5.30,2.40,5.50,1.80,4.20,9.00,5.70,0.19,4.65,,
October,1.39,6.40,2.50,6.46,3.41,3.24,3.87,4.40,3.64,7.58,,
November,11.44,3.70,2.77,7.72,2.87,1.64,2.50,1.70,5.68,6.24,,
December,6.52,4.15,2.20,8.33,4.20,6.70,5.50,4.86,7.16,4.41,,
Total,55.00,44.45,36.91,62.70,36.79,51.07,47.37,55.13,34.22,55.54,,
Calc annual,55.00,44.45,36.91,62.70,36.79,51.07,47.37,55.13,34.22,55.54,,
Difference,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,,
