"STOCKTON-ON-TEES, HARTBURN LODGE",,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ427177,Long,-1.3413356,Lat,54.552752,Elevation,40,ft,,,,,,,,,,,,,
Station no,3513,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,1.02,1.6,1.21,1.91,2.11,2.74,2.72,2.97,1.65,1.08,2.32,1.03,1.91,3.16,2.2,2.28,4.31,
February,,,,2.17,1.21,2.21,1.81,0.6,1.32,0.69,1.4,1.22,1,2.67,0.63,3.13,3.21,2.29,1.72,0.91,
March,,,,1.54,1.18,1.64,0.81,2.17,1.67,0.14,2.98,1.18,2.4,1.79,1.79,0.8,1.64,2.9,0.2,2.87,
April,,,,1.5,1.41,2.52,1.13,1.63,0.81,1.13,2.16,2.77,1.16,0.82,3.06,2.83,1.23,2.39,0.14,1.28,
May,,,,2.33,3.97,2.49,2.04,1.74,1.42,1.26,1.29,2.49,4.41,2.14,1.01,0.89,1.92,2.8,3.44,1.57,
June,,,,0.8,2.13,0.12,2.53,2.05,4.83,1.37,1.11,3.6,1.36,1.72,2.14,3.2,3.45,1.68,2.67,2.24,
July,,,,2.49,3.36,2.09,3.69,3.79,1.2,2.04,3.9,3.49,4.37,1.5,1.51,0.58,3.36,1.3,3.09,2.54,
August,,,,3.01,2.38,3.13,1.67,4.94,3.64,2.55,3.91,2.47,2.78,0.58,3.27,2.13,2.45,1.23,3.36,2.49,
September,,,,1.83,1.75,2.4,2.38,3.7,0.71,1.19,2.12,3.95,2.49,1.23,1.75,4.21,5.04,1.56,1.98,1.05,
October,,,,2.1,2.97,2.57,2.67,1.86,2.72,2.3,1.99,1.03,3.03,4.24,2.56,4.12,1.51,1.64,3.7,4.66,
November,,,,3.62,0.85,2.45,3.28,2.95,2.14,2.67,2.67,2.05,1.54,3.47,1.85,3.81,2.51,2.48,2.79,2.5,
December,,,,2.23,2.7,2.97,1.24,1.74,1.24,2.75,2.11,1.07,0.97,1.78,3.64,2.01,1.62,4.58,3.98,1.09,
Total,,,,24.64,25.51,25.8,25.16,29.28,24.44,20.81,28.61,26.97,26.59,24.26,24.24,29.62,31.1,27.05,29.35,27.51,
,,,,,,,,,,,,,,,,,,,,,
1939 arithmetic,,,,,,,,,,,,,,,,,,,,,
