KINGSBRIDGE-WESTBURN-TERRACE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX737446,Long,-3.77377,Lat,50.28795,Elevation,90,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1670/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,4.17,8.05,3.61,6.76,3.93,4.7,2.76,4.03,0.94,7.14,6.44,5.89,6.69,3.01,5.52,,,,,,,,,
February,,,,,,,,2.61,3.53,4.76,1.96,2.8,0.04,5.07,0.1,4.55,4.43,8.97,1.56,2.66,6.74,5.52,,,,,,,,,
March,,,,,,,,3.53,4.07,0.55,2.85,,2.86,3.89,4.49,1.14,4.89,4.94,0.54,1.41,3.74,4.45,,,,,,,,,
April,,,,,,,,2.28,2.99,0.7,3.79,,4.33,2.59,3.24,5.5,2.69,3.68,0.12,2.97,4.03,1.22,,,,,,,,,
May,,,,,,,,0.3,1.63,3.17,3.21,3.06,3.53,1.46,1.33,2.3,1.23,2.85,3.19,0.7,1.69,3.52,,,,,,,,,
June,,,,,,,,2.74,1.8,2.71,0.68,4.65,3.4,2.14,,4.45,1.27,1.56,1.14,4.36,0.97,2.97,,,,,,,,,
July,,,,,,,,,,1.77,2.04,,2.81,2.52,0.31,0.41,5.89,1.8,3.9,6.75,2.11,0.99,,,,,,,,,
August,,,,,,,,3.73,2.95,3.11,4.47,,1.67,1.45,3.02,2.45,0.83,1.88,4.91,3.18,0.08,4.95,,,,,,,,,
September,,,,,,,,5.04,2.18,0.03,3.36,1.37,6,2.46,,4.53,2.99,3.24,2.17,0.75,1.83,0.74,,,,,,,,,
October,,,,,,,,3.18,6.09,5.1,,1.15,8.41,2.91,2.59,4.34,1.41,3.72,4.98,-999,4.3,1.79,,,,,,,,,
November,,,,,,,,5.08,5.02,10.19,7.01,6.92,3.02,2.23,2.23,7.55,4.54,3.56,7.34,-999,9.25,2.74,,,,,,,,,
December,,,,,,,,,4.79,8.45,4.82,2.43,3.79,2.18,11.48,6.16,3.59,5.13,3.94,2.96,5.77,3.56,,,,,,,,,
Total,,,,,,,,,,44.15,,,44.56,31.66,,44.32,40.9,47.77,39.68,49.32,43.52,37.97,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Westburn Terrace was at 17 Wallingford Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nowhere in Wallingford road is the elevation 150ft as on sheets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927 July Dec Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928 July Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930 Oct Partly estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930 Not printed Probably over sheltered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931 Apr Wooden case round gauge removed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931 Mar Apr July Aug Adjusted by surrounding stations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934 June Sept Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935 Address changed from Westburn Terrace to Wallingford Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936 Oct and total Corrected 1938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939 Oct Nov Values apportioned Combined total 16.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943 Station terminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
