HIGH WRAY (HUYTON HILL SCHOOL),,,,,,,,,,,,
Grid ref,NY368019,Long,-2.975210,Lat,54.408611,,,,,,,
Station no,3031/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.21,6.78,4.14,8.09,6.77,5.76,12.08,9.59,4.20,11.78,,
February,6.63,1.07,3.26,5.65,2.06,1.20,7.00,8.56,2.83,10.58,,
March,6.25,4.46,1.07,5.07,2.36,3.45,6.51,1.87,5.76,2.23,,
April,4.53,4.76,4.02,2.41,3.42,1.24,1.90,2.03,5.14,6.75,,
May,1.16,2.82,2.46,3.95,4.61,3.94,4.81,6.21,2.03,3.70,,
June,1.60,3.39,5.27,6.95,5.13,3.28,2.74,3.94,5.69,3.76,,
July,3.85,2.77,6.66,5.41,2.87,5.76,5.60,5.24,6.34,8.57,,
August,6.78,7.57,8.76,7.47,3.32,9.50,7.94,5.53,1.14,5.11,,
September,9.48,5.80,12.39,14.25,3.87,5.16,7.41,8.28,1.52,4.83,,
October,1.04,6.55,3.46,18.31,5.80,6.86,9.54,9.74,9.72,5.69,,
November,11.99,4.82,12.51,14.39,3.78,2.71,3.06,2.33,10.58,15.16,,
December,16.48,6.77,4.92,11.00,11.34,10.32,8.70,6.69,16.55,8.76,,
Total,77.00,57.56,68.92,102.95,55.33,59.18,77.29,70.01,71.50,86.92,,
Calc annual,77.00,57.56,68.92,102.95,55.33,59.18,77.29,70.01,71.50,86.92,,
Difference,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
