HURTH SYKE,,,,,,,,,,,,,,,,,,,,
Grid ref,NY732319,Long,-2.4171769,Lat,54.681436,Elevation,2000,ft,,,,,,,,,,,,
Station no,RR6072,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,2.6,8,8.13,0.6,1.5,2,4.9,9.2,11.5,,,,,
February,,,,,,,7.9,8.4,3.3,3.4,7.8,1.9,6,7,,,,,,
March,,,,,,,6.7,4.57,6.2,3.8,3.5,5.5,7.4,2,,,,,,
April,,,,,,,5,4.2,3.4,2.5,4.7,3.1,6.2,2.1,,,,,,
May,,,,,,,2.1,5.2,7.45,2.4,2.2,6.3,3.9,1.7,,,,,,
June,,,,,,,4.3,4.6,5.1,5.4,5,7.5,8.8,7.1,,,,,,
July,,,,,,,2.8,9.6,5.1,10,8.9,9.1,8.6,5.5,,,,,,
August,,,,,,,4.5,10.9,6.7,7.6,1.5,7,4.8,7.8,,,,,,
September,,,,,,,7,5.1,8.2,6.8,6.8,5,3.2,9,,,,,,
October,,,,,,,5.2,10.25,7.4,1,4,4.5,6.4,10.6,,,,,,
November,,,,,,6.6,4.9,10.02,4.75,2,4.8,10,8.8,7,,,,,,
December,,,,,,4.7,6.9,6.8,3.67,3.4,5,4,5.7,6.8,,,,,,
Total,,,,,,,59.9,87.64,69.4,48.9,55.7,65.9,74.7,75.8,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR based upon distance from Alston and elevation,,,,,,,,,,,,,,,,,,,,
