"THORNEY BEDFORD OFFICE",,,,,,,,,,,,
Grid ref,TF281044,Long,-0.109078,Lat,52.622260,,,,,,,
Station no,RR4835,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.68,0.53,0.80,1.33,1.49,0.71,2.96,0.63,0.62,0.69,,
February,3.30,0.77,1.13,0.55,2.09,0.47,1.25,0.94,0.85,0.27,,
March,0.54,1.57,1.02,2.01,1.19,1.72,1.29,0.96,1.86,2.86,,
April,0.80,1.76,1.09,1.44,0.54,0.99,0.54,2.03,2.13,1.14,,
May,1.33,1.10,3.17,2.46,1.53,0.89,1.16,3.53,1.44,0.99,,
June,1.61,0.99,1.95,1.92,0.53,4.05,2.23,1.07,1.14,4.02,,
July,0.52,2.17,1.08,2.48,2.42,1.21,0.54,1.64,2.53,2.93,,
August,2.71,1.99,2.24,3.23,1.33,3.05,2.16,2.12,1.99,1.92,,
September,0.34,0.79,1.04,2.53,1.65,2.04,0.94,0.54,2.69,2.05,,
October,1.62,1.89,1.44,4.67,0.90,1.17,3.43,2.87,0.89,2.84,,
November,1.93,0.94,1.45,1.41,0.82,2.12,2.74,2.29,0.79,0.43,,
December,2.94,2.96,1.03,0.93,1.44,0.62,1.23,2.44,0.96,3.16,,
Total,20.32,17.46,17.44,24.96,15.93,19.04,20.47,21.06,17.89,23.30,,
Calc annual,20.32,17.46,17.44,24.96,15.93,19.04,20.47,21.06,17.89,23.30,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,,
