CHURCH STRETTON (WOOLSTASTON),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO455984,Long,-2.80501,Lat,52.58112,Elevation,745,ft,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,2.53,,3.29,5.74,3.25,2.28,5.01,3.32,3.81,1.56,1.29,3.66,2.56,1.01,2.8,,2.82,1.63,3.82,4.79,5.32,,
February,,,,,,,,,2.51,2.52,2.95,0.6,2.18,1.71,3.29,3.51,2,1.15,1.28,5.5,4.56,0.75,2.25,,2.36,0.86,2.75,5.04,0.3,4.65,,
March,,,,,,,,,2.63,2.35,3.89,1.61,1.38,0.56,1.21,1.35,5.66,1.37,2.53,1.48,6.32,1.76,1.46,,2.75,1.31,1.39,1.05,2.6,3.22,,
April,,,,,,,,,2.76,3.52,1.59,2.39,1.55,1.58,1.37,1.79,3.59,1.4,2.21,3.31,2.35,0.93,3.42,,1.04,1.09,0.48,0.92,4.58,2.09,,
May,,,,,,,,,1.01,2.79,3.54,4.91,3.85,1.74,3.5,3.36,3.52,3.26,2.91,1.29,3.27,2.43,3.1,,3.59,0.6,2.11,3.29,2.14,1.85,,
June,,,,,,,,,1.45,1.71,2.7,1.52,2.42,1.85,2.55,3.35,1.74,3.45,0.62,2.19,0.62,1.65,1.9,,3.3,1.64,2.63,5.27,2.18,2.73,,
July,,,,,,,,,6.38,3.47,2.45,2.16,1.77,1.73,2.96,2.95,5.27,2.29,2.67,3.22,1.65,1.01,2.2,,0.66,2.85,4.06,6.15,2,5.08,,
August,,,,,,,,,1.15,0.25,4.53,3.33,2.86,4.24,3.78,7.18,0.54,4.81,1.07,5.73,3.95,2.36,2.58,,1.26,3.94,6.29,4.89,1.17,3.26,,
September,,,,,,,,,0.89,1.42,,1.35,2.94,3.46,0.97,4.92,2.69,3.81,1.74,4.89,2.59,1.67,2.52,,1.9,3.44,6.37,8.48,0.08,4.57,,
October,,,,,,,,,3.65,3.98,3.19,1.6,3.95,5.19,4.41,1.66,0.37,1.69,4.55,1.82,0.9,5.56,2.29,3.5,1.18,2.3,2.1,3.91,4.1,8.45,,
November,,,,,,,,,5.67,8.41,2.96,0.95,2.81,5.98,0.37,6.22,2.72,3.14,4.22,4.57,6.74,1.9,1.18,6.67,,1.19,2.83,2.35,5.19,7.08,,
December,,,,,,,,,2.29,1.59,1.41,4.51,1.89,2.85,3.8,3.69,4.18,4.99,2.61,2.17,3.63,2.65,1.34,,,2.98,2.58,3.83,8.37,4.69,,
Total,,,,,,,,,,34.54,,28.22,33.34,34.14,30.49,44.99,35.6,35.17,27.97,37.46,40.24,25.23,25.25,,,25.02,35.22,49,37.5,52.99,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Originally all of these records 1870 to 1960 were considered as the same station no 2284 called CHURCH STRETTON WOOLSTASTON, however, the gauge was moved in Feb 1939 about 0.5 miles according to the note on the record sheet, therefore the records have been split",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The records for 1865 to Jan 1939 have been given station number 2284/01 and RECTORY added to the name to reflect the gauge's positon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The station number and name have been kept for the records from Feb 1939 to 1960 in case there are records from that site beyond 1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note the record sheet states the gauge was moved in Feb 1939 and I have assumed the last reading at the rectory site was Jan 1939, it could have been Feb.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The 1950s record sheet records a location with grid ref of SO449981, which, whilst consistent with the move noted on the 1930s record, is  inconsistent with the altitude and location data relative to the church and railway station, the location given above is for Meadow Place, which fits the location and altitude data better but unable to verify if the observers, the Parrys, lived there.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Estimated readings removed from some 1941 months and total, and there were no readings for some of the months in 1954 and 1955, which are blank",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
