ALLT CAILLICHE,,,,,,,,,,
Grid ref,NN388432,Long,-4.624122,Lat,56.553032,Elevation,1300,ft,,
Station no,5557/34,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,7.6
February,,,,,,,,,,7.16
March,,,,,,,,,,2.87
April,,,,,,,,,6.9,11.52
May,,,,,,,,,3.8,4.65
June,,,,,,,,,5.83,4.5
July,,,,,,,,,5.8,5.05
August,,,,,,,,,7.25,5.1
September,,,,,,,,,3.61,5.27
October,,,,,,,,,12.34,6.28
November,,,,,,,,,11.45,11.62
December,,,,,,,,,15.65,12.38
Total,,,,,,,,,,84
,,,,,,,,,,
BR 1960 P,,,,,,,,,,
,,,,,,,,,,
Station no,5557/34,,,,,,,,,
Midas,15119,,,,,,,,,
Hyd stn,862261,,,,,,,,,
