ALLT CAILLICHE,,,,,,,,,,
Grid ref,NN388432,Long,-4.624122,Lat,56.553032,Elevation,1300,ft,,
Station no,5557/3/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,5.51,6.66,16.44,9.31,4.65,6.72
February,,,,,5.12,4.59,6.68,4.11,6.48,4.25
March,,,,,0.6,4.62,10.18,2.43,7.8,1.7
April,,,,,5.32,5.65,4.22,5.3,6.8,10.05
May,,,,,6.16,8.9,2.91,8.12,3.9,4.55
June,,,,,4.96,7.08,4.74,3.15,6.65,4.55
July,,,,,1.17,8,6.27,4.84,5.75,5.1
August,,,,,3.04,6.1,7.38,9.11,7.3,5.25
September,,,,,10.43,9.68,5.52,7.78,3.42,5.16
October,,,,,9.4,9.66,15.28,11.15,12.13,6.01
November,,,,,4.43,7.09,3.61,1.7,10.9,10.55
December,,,,,21.43,19,15.74,8.8,14.93,11.08
Total,,,,,77.57,97.03,98.97,75.8,90.71,74.97
,,,,,,,,,,
BR 1955 P ,,,,,,,,,,
BR 1956 NP Low,,,,,,,,,,
BR 1957 NP Low,,,,,,,,,,
BR 1958 P () Nov Dec+T Est,,,,,,,,,,
BR 1959 P Ja Est,,,,,,,,,,
BR NP Check G,,,,,,,,,,
,,,,,,,,,,
Station no,5557/3/5,,,,,,,,,
Midas,15120,,,,,,,,,
Hyd Stn,892262,,,,,,,,,
