FORSINARD STATION,,,,,,,,,,,,,,,,,,,,
Grid ref,NC 890 425,Long,-3.897022,Lat,58.356999,Elevation,505,ft,,,,,,,,,,,,
Station no,5801,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,,,2.59,1.18,3.79,2.25,4.53,1.61,3.43,4.46,1.72,
February,,,,,,,,4.25,,,4.35,3,3.38,2.8,1.45,2,1.2,1.88,2.28,
March,,,,,,,,3.23,,,1.93,2.77,5.89,3.84,2.67,2.14,1.08,1.04,2.36,
April,,,,,,,,1.64,,,2.24,1.44,2.88,1.26,0.63,0.98,1.87,1.83,2.49,
May,,,,,,,,2.09,,,1.59,2.5,1.68,4.12,2.86,3.41,3.13,0.8,2.84,
June,,,,,,,,3.02,,0.75,3.6,3.35,4.91,0.67,1.38,2.3,2.38,0.95,2.35,
July,,,,,,,,2.59,,5.29,4.23,4.58,5.26,3.92,1.91,1.54,2.75,2.25,1.75,
August,,,,,,,,,,4.93,0.55,2.6,3,3.72,3.54,1.5,2.39,2.65,2.52,
September,,,,,,,,,,1.55,2.94,2.09,5.6,3.47,1.49,4.4,1.71,3.5,2.08,
October,,,,,,,,,,2.23,6.27,4.45,1.92,4.68,4.21,4.15,2.3,3.44,,
November,,,,,,,,,,4.01,4.91,3.3,4.6,4.44,5.29,3.73,2.8,3.61,,
December,,,,,,,,,,2.62,5.16,2.92,4.96,4.93,3.19,2.33,5.51,3.69,,
Total,,,,,,,,,,,40.36,34.18,47.87,40.1,33.15,30.09,30.55,30.1,,
