FORSINARD STATION,,,,,,,,,,,,,,,,,,,,,
Grid ref,NC 890 425,Long,-3.897022,Lat,58.356999,Elevation,505,ft,,,,,,,,,,,,,
Station no,5801,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,3.03,1.42,2.08,3.17,4.41,,,2.97,,,,,
February,,,,,,,,,1.22,0.73,,5.03,0.79,,,1.64,,,,,
March,,,,,,,,,1.41,0.32,,1.26,1.39,,,2.2,,,,,
April,,,,,,,,,2.18,1.56,,2.09,3.83,,,2.64,,,,,
May,,,,,,,,,1.99,1.34,3.07,1.37,3.47,1.02,,2.92,,,,,
June,,,,,,,,,3.41,2.1,2.52,1.49,0.59,,,2.36,,,,,
July,,,,,,,,,3.7,2.4,2.16,4.58,2.75,5.82,,,,,,,
August,,,,,,,,,4.52,6.05,7.65,1.54,3.06,,,,,,,,
September,,,2.69,,,,,,2.03,5.21,3.56,1.46,3.74,2.06,,,,,,,
October,,,2.62,,,,,,4.29,6.55,4.84,2.45,2.06,5.08,,,,,,,
November,,,,,,,,,7.09,2.13,7,4.06,1.09,,,,,,,,
December,,,,,,,,,3.06,6.27,,3.24,2.06,1.07,,,,,,,
Total,,,,,,,,,37.93,36.08,,31.74,29.24,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1930 Feb Mar Apr Dec & Total deleted as estimated,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
