"OLD LEAKE (LEVERTON)",,,,,,,,,,,,
Grid ref,TF422484,Long,0.118205,Lat,53.014022,,,,,,,
Station no,2541/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.63,1.56,0.61,1.17,2.02,5.38,1.38,1.88,2.82,3.67,,
February,2.59,0.45,1.56,2.58,2.35,1.15,2.98,3.27,0.16,2.32,,
March,2.84,2.53,0.81,1.92,1.99,0.84,1.48,1.33,1.91,0.90,,
April,2.49,0.95,2.01,0.38,1.37,1.07,0.22,0.72,1.37,0.66,,
May,2.40,2.29,2.19,2.53,2.98,0.58,1.75,2.47,0.25,0.86,,
June,1.22,1.30,3.17,2.45,2.46,1.87,1.63,2.74,0.53,0.52,,
July,1.00,0.22,1.92,2.14,0.33,2.20,3.27,3.79,2.22,4.37,,
August,2.96,1.67,2.40,4.06,0.66,3.42,1.69,1.57,1.21,3.87,,
September,1.85,2.19,1.09,2.92,1.53,1.66,3.63,2.43,1.09,2.32,,
October,0.89,2.03,2.27,2.46,1.61,0.78,1.41,1.68,1.30,4.83,,
November,3.26,2.51,1.56,3.44,1.06,0.74,1.88,0.97,1.71,3.35,,
December,1.04,1.96,0.80,2.14,1.58,1.26,2.08,2.74,3.55,4.13,,
Total,25.17,19.66,20.39,28.19,19.94,-999.00,23.40,25.59,18.12,31.80,,
Calc annual,25.17,19.66,20.39,28.19,19.94,20.95,23.40,25.59,18.12,31.80,,
Difference,0.00,0.00,0.00,0.00,0.00,-1019.95,0.00,0.00,0.00,0.00,,
