OLD LEAKE - LEVERTON,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF422484,Long,0.118,Lat,53.014,Elevation,9,ft,,,,,,,,,,,,,,
Station no,2541/4,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,3.92,1.25,1.76,1.93,4.01,2.20,2.08,1.17,1.90,3.59,0.99,0.92,2.63,1.56,0.61,1.17,2.02,5.38,1.38,1.88,2.82,3.67
February,0.41,2.22,2.19,0.74,0.48,1.80,1.86,1.66,1.27,0.74,0.58,3.12,2.59,0.45,1.56,2.58,2.35,1.15,2.98,3.27,0.16,2.32
March,1.84,1.22,3.11,1.10,0.54,0.29,0.88,1.04,4.84,0.42,0.80,0.51,2.84,2.53,0.81,1.92,1.99,0.84,1.48,1.33,1.91,0.90
April,1.83,1.09,0.61,0.79,1.11,1.63,1.06,0.97,1.69,1.73,1.67,1.78,2.49,0.95,2.01,0.38,1.37,1.07,0.22,0.72,1.37,0.66
May,0.63,1.17,1.77,2.24,2.59,1.22,1.16,1.25,0.30,3.12,1.81,2.16,2.40,2.29,2.19,2.53,2.98,0.58,1.75,2.47,0.25,0.86
June,1.96,1.21,0.53,1.42,1.92,1.95,2.00,2.52,2.44,3.11,0.69,1.98,1.22,1.30,3.17,2.45,2.46,1.87,1.63,2.74,0.53,0.52
July,2.55,4.14,3.93,2.32,0.95,2.25,1.67,1.90,1.08,1.47,1.85,2.75,1.00,0.22,1.92,2.14,0.33,2.20,3.27,3.79,2.22,4.37
August,1.17,0.77,3.60,1.95,1.98,2.32,2.92,2.54,0.00,3.96,2.24,2.65,2.96,1.67,2.40,4.06,0.66,3.42,1.69,1.57,1.21,3.87
September,1.04,0.75,0.93,1.35,1.97,4.11,1.38,2.91,1.63,2.20,1.19,3.49,1.85,2.19,1.09,2.92,1.53,1.66,3.63,2.43,1.09,2.32
October,3.23,2.47,2.78,2.23,0.68,2.76,1.74,2.72,0.06,1.71,3.77,0.93,0.89,2.03,2.27,2.46,1.61,0.78,1.41,1.68,1.30,4.83
November,3.50,3.88,3.06,2.40,1.72,3.52,0.77,4.41,1.05,0.97,2.16,3.63,3.26,2.51,1.56,3.44,1.06,0.74,1.88,0.97,1.71,3.35
December,2.25,1.77,0.45,1.54,0.77,1.26,1.95,2.03,1.95,2.53,1.12,1.56,1.04,1.96,0.80,2.14,1.58,1.26,2.08,2.74,3.55,4.13
Total,24.33,21.94,24.72,20.01,18.72,25.31,19.47,25.12,18.21,25.55,18.87,25.48,25.17,19.66,20.39,28.19,19.94,20.95,23.40,25.59,18.12,31.80
,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_15_pt1/114,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_17_pt1/199,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_15_pt1/200,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
# The station continued until 1967 according to MIDAS.,,,,,,,,,,,,,,,,,,,,,,
