CLAPHAM-PARK-NEW-PARK-ROAD,,,,,,,,,,,,,,,,,
Grid ref,TQ300734,Long,-0.13074,Lat,51.44526,Elevation,128,ft,,,,,,,,,
Station no,RR8072,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906
January,,,,,,1.71,0.64,1.88,0.77,2.36,2.23,0.6,0.57,2.49,2.46,1.21,3.75
February,,,,,,0.14,0.34,2.07,1.06,2.01,4.12,0.93,0.7,1.21,2.7,0.78,1.72
March,,,,,,0.98,2.85,3.41,1.35,0.45,0.85,1.97,1.63,2.2,1.51,3.1,
April,,,,,,1.4,0.74,2.6,0.88,2.46,0.59,1.65,0.4,2,1.32,1.56,
May,,,,,,0.41,0.18,1.2,2.65,1.35,0.85,0.8,2.37,3.28,2.2,0.63,
June,,,,,2.26,0.17,1.57,1.84,1.01,1.02,2.22,1.71,3.67,6.32,0.86,4.79,
July,,,,,3.08,3.8,1.17,0.94,0.71,0.61,1.41,2.55,1.23,5.75,1.46,0.8,
August,,,,,3.29,2.4,2.17,3,0.93,0.32,4.06,2.02,2.8,4.83,1.81,3.15,
September,,,,,1.31,0.64,5.78,2.67,0.22,2.16,0.59,1.31,1.73,2.8,1.19,1.32,
October,,,,,4.1,3.08,2.59,0.48,2.79,2.05,1.47,2.49,1.34,5.15,1.76,1.14,
November,,,,,3.07,2.9,1.12,1.07,2.27,4.06,1.83,0.57,1.74,2.17,1.53,3.32,
December,,,,,1.69,2.09,2.88,2.09,2.34,1.14,1.96,3.05,1.39,1.37,1.98,0.65,
Total,,,,,,19.72,22.03,23.25,16.98,19.99,22.18,19.65,19.57,39.57,20.78,22.45,
,,,,,,,,,,,,,,,,,
82 New Park Road ,,,,,,,,,,,,,,,,,
1903 Jan 1 New gauge,,,,,,,,,,,,,,,,,
1906 Mar 1 Gauge moved 1000ft NNE,,,,,,,,,,,,,,,,,
