YATTON CHELVEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST472679,Long,-2.760505,Lat,51.407654,Elevation,60,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,4.28,4.81,4.82,2.27,2.43,5.83,4.31,3.7,,,,,,,,1.95,3.21,2.49,1.28,4.15,2.28,1.1,0.74,3.82,3.56,1.45,2.31,3.27,3.77,0.51,2.06,0.97,5.26,4.86,1.43,1.64,4.34,4.07,0.84,4.09,1.2,1.48,1.33,3.3,1.21,4.27,5.86,1.22,2.89,2.57,0.77,3.82,4.65,4.34,3.53,2.7,2.21,4.45,3.79,4.69,3.34,6.03,1.19,5.06,1.96,4.62,3.46,2.38,0.82,3.6,3.98,4.77,5.09,2.45,3.09,3.57,6.1,1.99,1.87,3.4,2.23,6.28,0.88,0.96,4.18,2.74,0.8,2.49,3.18,3.78,2.98,2.56,3.46,3.51
February,,,,,,,,2.81,1.37,3.82,1.62,1.64,4,1.86,2.9,,,,,,,,2.02,4.3,1.19,3.22,0.54,0.57,0.84,1.42,0.65,0.01,2.27,4.35,3.32,0.13,0.61,3.51,1.35,3.09,5.96,0.91,0.65,1.36,4.11,0.88,2.14,1.7,1.59,0.49,4.46,2.38,2.64,0.68,2.96,4.2,5.67,1.7,1.88,2.8,1.46,0.28,4.11,6.78,0.46,4.39,1.81,3.9,3.18,1.13,0.67,1.99,0.11,4.15,0.36,2.53,2.22,4.94,1.21,2.03,2,3.24,0.15,1.79,0.65,3.73,2.66,1.52,1.83,1.3,6.14,4.06,0.69,1.56,3.31,1.68,0.18,3.72,3.93,0.29,2.27
March,,,,,,,,5.78,1.98,1.2,1.81,1.29,2.21,3.98,2.19,,,,,,,,1.48,0.83,1.49,1.27,2.45,1.99,3.31,5.9,0.91,3.33,0.72,0.31,2.34,2.4,3.29,4.09,0.86,0.99,1.34,2.7,1.62,3.84,2.48,3.41,2.46,0.87,2.69,3.26,0.72,2.77,4.59,3.31,4.96,1.16,4.03,3.17,1.52,4.79,2.46,1.76,2.93,1.36,1.76,0.41,0.69,3.25,2.44,0.49,1.96,1.07,2.38,3.21,1.87,0.6,2.79,3.8,0.4,1.38,2.56,3.2,2,1.05,0.28,1.11,1.05,6.37,1.73,1.5,1.55,4.46,3,0.88,3.37,1.17,0.7,2.55,0.89,2.86,2.38
April,,,,,,,,2.85,2.1,1.07,0.52,3.29,2.69,0.64,1.96,,,,,,,,3.16,0.64,1.41,1.77,2.41,1.79,1.55,3.93,1.62,1.01,1.2,0.06,2.06,2.64,0.83,3.64,1.69,3.32,0.93,4.2,1.09,2.56,1.9,2.46,0.87,3.22,2.6,2.7,2.65,1.96,0.3,2.82,1.36,1.46,1.5,2.3,2.56,1.83,3.58,0.77,3.34,2.55,3.12,2,3.17,1.44,1.5,0.94,2.81,2.46,2.93,1.31,2.54,4.44,3.01,2.7,0.14,2.82,2.2,1.17,0.95,1.12,2.95,0.97,2.59,2.9,1.85,2.08,2.13,3.62,1.82,4.4,0.74,1.44,2.2,0.14,1.13,2.62,1.65
May,,,,,,,,3.19,1.45,5.06,1.21,0.72,2.27,2.67,0.52,,,,,,,,2.04,0.73,1.92,2.49,4.83,1.93,1.96,2.38,1.52,4.03,1.24,0.65,2.52,0.97,0.44,1.29,3.39,2.23,2.38,0.48,1.99,2.76,3.2,0.11,3.11,2.17,1.58,1.61,1.77,0.63,2.07,2.32,1.9,2.75,3.78,2.4,1.69,0.32,1.83,2.56,0.99,1.97,4.44,4.69,2.48,1.55,1.11,2.39,1.03,3.31,5.72,2.22,1.43,1.26,1.72,2.36,2.36,0.91,3.1,1.73,4,2.61,0.93,4.27,4.22,2.54,3.93,4.61,2.02,2.99,4.29,1.9,1.7,3.94,0.83,1.61,3.2,1.45,1.02
June,,,,,,,,0.92,0.6,0.91,0.41,1.42,3.31,1.94,1.19,,,,,,,,3.64,2.95,2.39,1.29,0.69,0.66,3.54,0.59,3.87,1.69,2.25,0.81,2.55,0.77,1.7,2.71,0.99,1.16,2.54,1.71,2.89,4.15,1.75,4.03,2.2,3.16,0.23,3.19,4.39,2.55,3.8,1.29,2.08,0.83,2.87,3.21,1.04,1.57,3.02,0.14,1.8,0.68,2.95,0,1.68,3.21,2.76,2.12,1.83,4.12,1.12,1.05,1.39,4.06,2.89,1.28,1.07,2,0.9,3.43,0.32,1.76,3.42,3.57,3.81,1.67,3.08,0.64,2.63,0.9,3.17,2.39,3.67,2.78,2.72,1.5,2.72,1.1,2.28
July,,,,,,,,2.75,0.48,1.24,2.44,5.7,4.38,4.67,1.88,,,,,,,,6.29,3.36,2.77,0.75,3.63,1.38,6.8,2.56,3.98,2.97,4.84,4.29,5.53,4.32,1.16,2.27,0.55,0.16,0.74,2.48,2.68,1.85,2.55,0.66,1.49,2.35,2.2,3.02,2.07,0.05,3.94,0.44,3.91,5.15,1.05,2.16,5.26,2.16,4.74,0.62,4.02,2.19,4.78,3.64,2.03,5.19,2.73,1.48,2.34,4.07,2.91,1.98,0.97,1.13,5.56,3.88,3.13,4.52,7.03,2.16,2.93,1.99,2,2.23,1.58,3,1.52,0.85,4.11,1.37,0.94,4.83,4.07,0.11,3.16,4.43,1.97,2.9,6.04
August,,,,,,,,2.28,6.1,1.27,1.85,2.47,3.26,3.44,4.66,,,,,,,,4.73,1.97,2.89,1.92,2.57,2.27,2.71,3.24,3.58,7.42,4.55,2.73,3.43,2.88,2.28,9.19,3.31,3.45,2.43,2.42,4.01,4.05,2.87,3.77,3.08,2.47,4.36,2.64,6.45,2.27,7.91,1.23,2.76,2.8,5.99,8.78,2.45,2.88,2.16,3.54,4.36,3.96,6,3.48,3.28,4.49,2.87,4.61,4.98,4.34,1.37,2.37,3.1,2.3,0.75,1.4,3.69,2.67,0.19,4.71,4.11,4.32,2.72,2.6,7.55,0.93,5.31,2.98,6.55,5.39,5.89,5.46,3.35,0.64,7.03,2.56,3.19,1.65,4.9
September,,,,,,,,1.65,2.93,4.62,2.16,5.03,3.12,2.87,6.82,,,,,,,,3.1,3.25,1.6,3.6,2.58,3.56,1.26,1.76,1.44,2.26,3.8,2.62,2.82,1.32,6.76,3.96,1.03,4.17,0.82,1.67,1.71,3.44,1.63,1.35,1.88,0.8,2.42,2.49,0.22,1.35,0.5,3.14,1.77,1.69,1.54,3.48,8.97,1.62,1.91,4.23,2.63,3.61,4.04,3.58,1.74,6.29,1.07,0.58,3.7,2.7,5.27,2.18,3,7.25,2.96,1.61,2.05,0.69,2.18,0.58,1.9,4.01,4.09,2.15,4.6,1.51,3.03,3.32,5.71,2.6,3.29,3.73,6.18,1.89,3.82,3.71,6.05,0.17,4.95
October,,,,,,,,3.95,3.48,1.93,5.2,2.73,4.21,3.28,4.18,,,,,,,,5.4,3.07,0.72,4.36,5.05,3.09,1.12,2.4,1.66,8.5,2.47,6.53,3.77,4.28,3.88,1.39,6.03,3.75,3.87,2.09,2.33,8.39,1.68,2.54,4.25,4.95,2.04,6.84,4.69,2.84,4.71,3.11,1.82,4.02,6.94,7.23,2.23,2.67,2.36,2.04,1.38,4.83,6.37,3.96,4.95,2.65,6.15,6.51,3.64,1.02,7.26,3.07,2.01,6.12,1.86,3.22,5.63,2.7,3.65,1.63,3.56,2.91,4.17,3.8,0.97,0.53,4.64,8.06,1.8,0.73,4.13,2.87,4.28,1.62,1.66,3.94,2.86,4.1,6.82
