LITTLEOVER-OLD-HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK329341,Long,-1.5123125,Lat,52.903336,Elevation,325,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,2655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,,1.28,2.62,0.85,4.4,4.39,1.59,2.76,1.54,2.58,2.39,3.39,3.01,2.47,3.72,,,,,,,,
February,,,,,,,,,,0.83,2.24,1.58,1.83,0.96,1.49,2.36,5.16,1.19,2.05,2.41,2.27,0.44,,,,,,,,,
March,,,,,,,,,,3.22,0.57,1.47,2.9,4.06,2.4,1.2,3.68,1.69,1.52,4.67,2.06,1.24,,,,,,,,,
April,,,,,,,,,,1.64,2.1,1.48,0.26,3.08,0.9,0.92,1.79,1.37,1.25,,3.88,1.17,,,,,,,,,
May,,,,,,,,,,1.94,2.45,0.68,2.54,1.88,2.26,1.71,2.2,2.68,2.57,1.18,2.69,1.65,,,,,,,,,
June,,,,,,,,,,2.55,1.44,3.24,5.95,1.38,1.82,2.57,1.62,3.01,0.77,0.9,2.49,0.53,,,,,,,,,
July,,,,,,,,,,3.5,2.94,0.35,3.75,1.35,4.65,6.72,2.33,1.33,2.97,2.45,4.74,0.51,,,,,,,,,
August,,,,,,,,,,2.21,3.66,2.08,6.74,2.12,1.99,2.23,2.03,4.89,2.61,2.01,0.91,4.55,,,,,,,,,
September,,,,,,,,,,1.79,0.69,1.44,0.89,1.77,1.4,1.11,0.99,1.7,5.85,1.69,2.06,1.12,,,,,,,,,
October,,,,,,,,,,3.9,2.98,2.26,3.12,3.18,2.04,1.82,3.07,3.85,1.32,2.41,1.77,2.74,,,,,,,,,
November,,,,,,,,,,0.52,4.94,2.22,2.24,2.65,3.7,2.65,3.24,1.67,1.49,2.15,0.93,1.57,,,,,,,,,
December,,,,,,,,,,5.46,4.5,4.15,3.82,1.11,5.86,4.89,2.46,1.21,3.89,3.87,2.6,2,,,,,,,,,
Total,,,,,,,,,,28.84,31.13,21.8,38.44,27.93,30.1,30.94,30.11,27.17,28.68,,29.41,19.99,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is Old Hall, stated altitude, 346 ft., is too high, OS figure used. Gauge moved to Hilltop in Feb 1922",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
