TORQUAY-PRINCESS-GARDENS,,,,,,,,,,,,,,,,,,,,
Grid ref,SX915635,Long,-3.529965,Lat,50.461263,Elevation,12,ft,,,,,,,,,,,,
Station no,RR7444,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,3.3,1.29,4.03,5.52,1.44,6.21,1.75,1.27,1.53,3.87,0.8,4.05,6.97,0.8,2.99,1.52,1.02,,
February,,1.23,1.57,2.64,5.53,0.87,3.82,1.55,1.82,0.44,5.94,1.55,3.34,1.46,4.39,6.84,6.36,0.73,,
March,,4.44,2.22,4.15,2.08,5.27,1.02,0.67,3.16,5.53,0.86,2.31,4.76,3.66,5.13,0.96,3.74,3.19,,
April,,4.63,1.94,1.32,1.08,2.65,0.82,4.25,2.47,1.87,2.08,1.17,0.17,4.01,1.2,1,0.51,1.44,,
May,,1.44,1.39,3.05,2.37,0.59,1.55,3.53,1.78,0.91,2.21,0.58,1.11,2.4,1.35,3.54,1.64,1.72,,
June,,1.01,3.21,2,1.08,2.82,2.01,1.67,0.33,4.37,1.78,1.86,3.33,0.5,0.77,2.03,1.83,2.53,,
July,,1.9,2.16,3.43,4.61,0.64,0.8,1.96,1.28,2.21,2.43,0.41,1.72,0.28,2.89,3.28,0.69,1.99,,
August,,0.89,2.37,3.37,2.9,3.15,1.93,0.74,4.07,1.82,3.63,0.45,6.02,1.46,2.34,1.73,5.52,5.03,,
September,,4.5,2.41,3.31,1.8,1.87,0.93,0.96,2.51,1.51,0.17,1.78,1.15,2.47,2.47,0.89,3.19,1.6,,
October,,1.52,3.37,6.92,2.06,2.38,4.49,8.17,2.2,6.58,4.61,4.16,4.51,3.58,2.56,4.76,5.25,3.43,,
November,,0.53,4.73,1.43,1.53,5.23,3.52,4.22,0.74,1.09,4.56,4.22,1.79,3.43,4.39,2.59,4.72,1.06,,
December,,7.1,2.69,4.81,2.56,1.04,1.5,4.41,3.81,5.88,6.6,10.08,5.1,2.03,8.92,9.17,4.78,1.22,,
Total,,32.49,29.35,40.46,33.12,27.95,28.6,33.88,25.44,33.74,38.74,29.37,37.05,32.25,37.21,39.78,39.75,24.96,,
,,,,,,,,,,,,,,,,,,,,
Observations unreliable owing to shelter,,,,,,,,,,,,,,,,,,,,
