"STARCROSS",,,,,,,,,,,,
Grid ref,SX972821,Long,-3.454826,Lat,50.629506,,,,,,,
Station no,1761,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.23,2.88,0.54,1.90,4.63,3.48,2.90,3.43,4.52,3.76,,
February,5.21,0.40,1.40,3.64,2.29,0.14,5.32,3.27,0.28,4.70,,
March,4.31,2.80,0.65,3.69,1.76,0.93,3.06,1.65,4.42,2.82,,
April,1.49,2.86,3.45,0.07,1.62,0.69,0.05,0.28,3.30,2.73,,
May,2.35,2.51,2.88,2.19,3.52,0.69,1.84,2.51,1.35,1.82,,
June,0.85,1.49,1.96,3.09,3.23,1.34,1.56,3.03,1.48,1.07,,
July,2.86,0.83,2.26,2.12,2.57,2.87,2.64,2.17,2.63,3.09,,
August,3.37,3.83,1.51,2.83,0.38,2.06,1.94,3.64,2.79,4.49,,
September,4.59,2.85,2.62,2.23,1.29,6.26,1.82,3.60,0.12,6.67,,
October,0.76,4.90,3.14,2.36,2.19,1.52,1.90,2.55,3.00,10.51,,
November,5.86,4.23,1.77,7.23,4.19,1.09,2.08,2.93,7.70,4.26,,
December,2.83,2.70,0.69,3.21,4.76,4.80,1.98,4.58,7.16,3.58,,
Total,37.71,32.28,22.87,34.56,32.43,25.87,27.09,33.64,38.75,49.50,,
Calc annual,37.71,32.28,22.87,34.56,32.43,25.87,27.09,33.64,38.75,49.50,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
