STARCROSS-(STAPLAKE-HOUSE),,,,,,,,,,,,,,,,,,,,,
Grid ref,SX974813,Long,-3.4508,Lat,50.6228,Elevation,12,ft,,,,,,,,,,,,,
Station no,1761,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,3.97,5.83,4.56,3.84,4.36,1.91,4.97,2.81,3.43,,,,,,,,
February,,,,,1.42,4.74,2.52,3.3,2.68,2.27,1.44,1.98,0,,,,,,,,
March,,,,,1.56,0.23,0.45,3.63,3.92,0.15,2.45,1.79,2.48,,,,,,,,
April,,,,,3.22,2.49,2.71,1.65,1.56,1.08,2.96,3.4,2.18,,,,,,,,
May,,,,,4.93,4.99,0.91,0.41,1.54,2.73,1.45,3.47,3.62,,,,,,,,
June,,,,,2.52,0,3.34,2.16,1.64,2.27,0.29,3.14,3.34,,,,,,,,
July,,,,,4.21,2.37,0.93,3.61,1.18,1.74,1.78,4.03,3.11,,,,,,,,
August,,,,,2.81,1.76,1,2.96,2.23,1.69,3.27,4.56,1.77,,,,,,,,
September,,,,,4.61,3.55,1.03,4.89,1.81,0.26,4.8,1.51,4.73,,,,,,,,
October,,,,,5.83,3.4,2.82,2.04,5.03,5.75,3.79,0.35,6.39,,,,,,,,
November,,,,,3.24,2.79,8.04,2.51,3.59,10.26,5.62,7.08,2.17,,,,,,,,
December,,,,,4.58,5.27,0.48,3.98,2.88,8.6,3.82,1.65,2.72,,,,,,,,
Total,,,,,42.9,37.42,28.79,34.98,32.42,38.71,36.64,35.77,35.94,,,,,,,,
