WESTLEIGH-HOUSE-(COUNCIL-SCHOOL),,,,,,,,,,,,,,,,,
Grid ref,SS475283,Long,-4.17628,Lat,51.034,Elevation,170,ft,,,,,,,,,
Station no,1865,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,4.19,1.08,4.21,3.96,4.79,5.18,2.71,2.83,3.58,4.66,,,,,,,
February,0.31,3.7,1.94,4.86,1.29,1.54,2.72,2.88,0.37,2.14,,,,,,,
March,2.39,1.18,2.1,2.91,0.28,1.28,2.25,2.57,1.97,2.36,,,,,,,
April,2.26,3.88,2.44,2.64,0.12,1.55,2.4,0.69,1.45,2.35,,,,,,,
May,1.52,1.92,0.73,2.08,1.74,0.94,1.01,2.03,4.32,4.06,,,,,,,
June,1.77,2.86,1.84,1.29,1.39,1,0.75,0.95,0.35,2.48,,,,,,,
July,0.54,0.53,7.04,2.07,2.58,4.14,4.34,1.39,2.32,3.01,,,,,,,
August,4.34,2.32,0.47,1.65,7.43,2.68,0.18,3.82,2.19,2.6,,,,,,,
September,2.98,4.65,1.98,3.25,0.77,0.41,1.87,0.32,3.27,,,,,,,,
October,3.19,6.23,1.21,2.32,5.99,2.62,3.02,2.05,2.27,,,,,,,,
November,2.01,5.11,4.24,1.87,5.2,6.7,7.25,1.26,1.1,,,,,,,,
December,6.62,3.54,4.11,3.36,4.03,2.01,3,3.02,4.47,,,,,,,,
Total,32.12,37,32.31,32.26,35.61,30.05,31.5,23.81,27.66,,,,,,,,
,,,,,,,,,,,,,,,,,
At some time in 1934 gauge moved 200yds to Westleigh Council School,,,,,,,,,,,,,,,,,
1934 Record received from Westleigh Council School 200yds NE from Westleigh House,,,,,,,,,,,,,,,,,
1940 Jan Adjusted for snow,,,,,,,,,,,,,,,,,
1943 Station terminated owing to loss of irreplaceable instruments,,,,,,,,,,,,,,,,,
