WESTLEIGH-HOUSE,,,,,,,,,,,,,,
Grid ref,SS473282,Long,-4.17904,Lat,51.03328,Elevation,187,ft,,,,,,
Station no,1865,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933
January,,,2.78,2.37,3.71,3.4,5.26,5.68,6.21,1.59,5.64,3.81,4.34,2.85
February,,,4.01,7.1,0.64,6.05,2.3,2.75,3.45,1.34,1.47,2.18,0.04,3.05
March,,,3.93,1.68,1.86,0.83,0.53,3.43,3.47,0.46,2.24,1.71,2.39,2.79
April,,,4.22,2,2.8,2.55,1.53,2.04,1.63,0.72,2.43,2.29,2.45,1.58
May,,,1.35,2.28,2.97,3.62,1.54,0.92,1.22,3.34,1.95,3.11,3.09,2.42
June,,,1.3,0.98,1.68,0,1.77,2.28,2.82,2.43,0.45,4.32,0.87,1.32
July,,,2.24,3.1,4.53,3.39,1.83,3.06,1.8,2.73,2.99,4.86,2.88,2.18
August,,,3.71,1.98,3.93,3.45,2.15,4.28,3.24,2.59,3.37,3.69,1.17,1.24
September,,,2.47,3.46,4.44,3.91,1.69,8.03,1.68,0.62,4.8,1.65,4.08,1.73
October,,,1.48,6.69,4.66,3.83,3.16,2.23,7.45,6.75,5.08,0.99,8.61,5.03
November,,,1.82,4.06,2.64,3.65,8.05,3.64,4.49,9.1,3.9,6.84,3.07,1.09
December,,,6.36,3.98,5.18,4.57,0.88,2.8,5.23,7.17,4.97,2.18,2.75,1.9
Total,,,35.67,39.68,39.04,39.25,30.69,41.14,42.69,38.84,39.29,37.63,35.74,27.18
,,,,,,,,,,,,,,
From Guernsey,,,,,,,,,,,,,,
1934 Moved early in 1934 to Chope Barton Northam Devon,,,,,,,,,,,,,,
1934 Record received from Westleigh Council School 200yds NE from Westleigh House,,,,,,,,,,,,,,
