"POTTERS BAR (PARKFIELD SCHOOL)",,,,,,,,,,,,
Grid ref,TL256020,Long,-0.183843,Lat,51.702695,,,,,,,
Station no,876,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.52,1.94,,0.80,3.04,4.63,1.45,2.88,2.88,2.21,,
February,5.45,0.84,,2.33,2.54,0.74,3.33,2.77,0.08,2.20,,
March,3.85,4.24,,2.76,1.42,0.97,1.10,1.27,1.85,1.73,,
April,2.80,1.83,,0.30,0.58,1.07,0.17,1.56,2.52,0.49,,
May,2.14,1.60,,2.19,5.69,0.68,0.86,2.26,1.44,1.92,,
June,0.67,1.03,,4.63,2.04,2.87,2.33,4.38,0.96,1.27,,
July,1.06,0.17,,3.45,0.30,4.92,2.92,1.91,2.49,2.57,,
August,3.77,3.61,,3.28,1.76,4.77,2.08,2.31,1.85,2.75,,
September,3.61,3.59,,1.70,1.34,2.41,3.41,3.53,0.04,3.34,,
October,0.93,3.32,,2.93,4.16,2.44,1.98,2.25,1.64,5.65,,
November,4.69,4.64,,3.92,1.29,0.62,2.29,1.98,2.40,4.12,,
December,1.46,3.12,,1.73,1.94,3.72,2.36,2.60,4.53,3.03,,
Total,32.95,29.93,,30.02,26.10,29.84,24.28,29.70,22.68,31.28,,
Calc annual,32.95,29.93,0.00,30.02,26.10,29.84,24.28,29.70,22.68,31.28,,
Difference,0.00,0.00,NaN,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,,
