"ROCHDALE GREAT LODGE, HIGHER HILL",,,,,,,,,,,,,,,,,,,,
Grid ref,SD835184,Long,-2.251167,Lat,53.661822,Elevation,1500,ft,,,,,,,,,,,,
Station no,RR8957,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,2.43,2.4,4.16,4.07,1.5,5.35,1.85,4.08,2.47,4.81,1.55,3.87,4.08,3.51,6.78,3.99,2.14,3.16,
February,,1.59,1.87,3.35,2.82,1.59,3.27,1.76,3.04,2.39,4.46,5.34,2.49,2.04,3.24,4.75,3.85,1.5,6.61,
March,,2.55,2.22,4.8,2.71,3.52,3.15,3.82,2.88,3.23,1.1,2.19,6.21,4.93,5.74,1.76,2.31,2.2,2.3,
April,,2.82,1.14,2.15,2.75,3.71,1.61,2.34,2.66,3.89,2.98,2.69,0.82,5.04,1.77,1.99,3.28,1.25,,
May,,1.67,3.13,,3.04,0.77,4.65,4.85,3.65,3.22,2.76,3.6,2.85,3.74,2.6,1.92,3.05,2.52,,
June,4.73,2.69,1.47,2.18,1.47,3.93,1.64,8.57,2.1,2.9,3.57,4.35,7.24,3.5,2.43,1.28,3.51,2.69,,
July,2.46,1.99,3.01,5.22,2.17,3.2,2.13,3.68,5.96,6.91,5.57,0.41,5.17,1.5,5.46,5.19,2.89,2.62,,
August,6.64,3.08,4.23,6.64,5.3,5.9,5.72,5.32,4.29,3.81,7.58,3.29,9,2.3,4.43,5.76,4.43,7.94,,
September,2.07,2.16,1.97,5.67,1.93,2.84,1.63,1.59,4.4,4.11,0.44,4.43,2.05,2.32,4.49,0.83,3.17,2.58,,
October,6.59,4.03,4.98,10.51,2.73,3.22,7.1,4.99,2.47,6.55,3.9,3.78,5.82,2.4,3.06,2.3,8.83,8.43,,
November,4.85,5.85,3.72,3.27,2.92,5.06,4.23,3.58,2.96,1.76,5.12,4.56,3.58,5.84,6.18,1.79,3.32,4.86,,
December,6.62,5.16,3.77,2.73,2.25,0.94,2.54,4.3,3.61,6.75,4.38,6.34,5.17,2.74,6.05,8.42,3.19,1.81,,
Total,,36.02,33.91,,34.16,36.18,43.02,46.65,42.1,47.99,46.67,42.53,54.27,40.43,48.96,42.77,45.82,40.54,,
,,,,,,,,,,,,,,,,,,,,
1903 May and total estimated,,,,,,,,,,,,,,,,,,,,
