PENDOCK RECTORY,,,,,,,,,,,,,,,,,,,,
Grid ref,SO813340,Long,-2.2738219,Lat,52.004118,Elevation,95,ft,,,,,,,,,,,,
Station no,RR6162,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,,0.64,2.17,1.55,1.09,1.44,,,,,,
February,,,,,,,,,,0.65,0.57,0.04,0.9,2.08,,,,,,
March,,,,,,,,,,1.34,0.72,1.27,0.68,0.16,,,,,,
April,,,,,,,,,,2.68,0.73,1.29,0.91,0.07,,,,,,
May,,,,,,,,,,4.11,1.45,3.48,1.37,1.42,,,,,,
June,,,,,,,,,,0.33,2.16,1.76,1.48,2.36,,,,,,
July,,,,,,,,,5.68,1.92,2.5,1.92,2.42,2.08,,,,,,
August,,,,,,,,,2.14,2.87,3.29,3.71,2.13,1.38,,,,,,
September,,,,,,,,,0.79,2.24,1,0.78,1.96,0.67,,,,,,
October,,,,,,,,,0.76,1.97,1.37,5.54,1.17,2.02,,,,,,
November,,,,,,,,,6.46,1.04,1.93,2.01,1.8,1.07,,,,,,
December,,,,,,,,,1.94,1.66,1.26,2.69,0.86,2.52,,,,,,
Total,,,,,,,,,,21.45,19.15,26.04,16.77,17.27,,,,,,
