COLERAINE (THE CUTTS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IC854302,Long,-6.66237,Lat,55.111905,Elevation,22,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,6239/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,5.62,2.6,2.39,1.5,6.21,4.78,4.35,5.15,4.13,4.3,5.72,4.29,4.25,3.77,6.13,1.37,4.04,4.37,3.55,4.83,3.66,3.34,4.12
February,,,,,,,,1.92,3.36,2.49,3.05,2.38,3.56,1.58,4.01,3.96,1.03,2.55,3.05,2.64,3.52,2.27,1.63,3.24,2.21,1.98,2.89,4.88,0.78,4.23
March,,,,,,,,2.13,3.86,4.71,3,3.15,1.58,1.33,1.25,0.98,3.5,2.94,2.63,1.9,2.86,1.61,0.83,2.95,1.01,1.32,2.75,1.34,2.64,1.43
April,,,,,,,,0.29,1.78,4.31,1.27,1.68,2.79,2.47,1.31,1.19,4.11,2.35,3.19,4.97,2.07,1.46,2.32,1.24,1.84,1.3,1.62,2.12,4.59,2.68
May,,,,,,,,3.08,1.02,1.11,1.89,3.88,3.58,2.36,3.76,0.76,4.2,1.77,1.96,1.6,1.43,1.52,1.88,3.87,3.66,1.41,2.11,2.57,1.18,2.16
June,,,,,,,2,3.39,3.12,1.27,0.53,1.19,3.69,2.95,3.47,3.45,4.42,3.68,1.36,2.89,2.76,3.31,2.99,3.21,3.66,3.07,1.9,4.43,2.15,2.56
July,,,,,,,5.7,4.76,4.93,4.57,2.7,4.35,2.39,3.84,4.45,4.65,3.34,3.17,2.16,7.18,3.53,1.73,4.54,4.24,0.93,5.01,6.39,5.43,4.86,7.09
August,,,,,,,4.53,2.27,1.52,1.5,4.57,5.33,4.88,3.02,1.05,4.47,0.19,3.98,2.65,6.06,4.32,6.61,4.06,2.64,0.71,5.14,3.28,5.72,0.79,9.85
September,,,,,,,3.34,3.31,2.28,3.71,0.85,5.86,3.87,5.88,3.64,5.4,2.87,4.41,3.09,8,2.31,3.7,3.68,5.08,5.15,3.39,4.88,3.19,1.25,2.83
October,,,,,,,2.21,6.41,2.03,4.49,4.42,4.25,3.4,5.25,4.02,1.31,2.2,4.03,5.14,4.68,1.66,4.8,2.07,4.98,3.28,3.42,3.56,3.25,4.8,3.55
November,,,,,,,1.54,6.25,4.88,4.97,4.29,1.52,3.92,5.52,0.7,3.21,6.51,2.52,3.8,3.68,5.45,3.9,3.56,5.31,1.6,3.12,1.93,2.1,4.29,3.35
December,,,,,,,2.78,4.47,3.26,5.29,1.97,5.23,2.6,4.18,3.63,3.65,2.21,6.01,6.41,5.25,5.83,4.92,3.43,5.68,4.84,3.68,5.36,3.88,4.79,5.03
Total,,,,,,,,43.9,34.64,40.81,30.04,45.03,41.04,42.73,36.44,37.16,38.88,43.13,39.73,53.1,39.51,41.96,32.36,46.48,33.26,36.39,41.5,42.57,35.46,48.88
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945 arithmetic incorrect on record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
