WESTBURY-ON-TRYM-COTE-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST572763,Long,-2.617762,Lat,51.484023,Elevation,243,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,6.19,4.16,3.16,,2.7,4.86,1.62,2.78,0.71,1.45,2.72,3.5,4.7,2.16,5.11,2.41,0.52,1.26,4.57,3.93,1.95,2.05,3.05,4.39,0.46,2.12,0.82,4.74,4.54,2.07,1.84,4.49,3.75,0.66,4.99,2.09,1.67,1.43,3.09,1.01,4.27,5.7,1.16,3.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,3.5,1.6,2.13,,3.97,2.46,1.77,4.23,5.05,3.24,2.53,3.71,1.54,3.76,0.69,0.82,0.97,1.64,0.78,0.07,2.6,4.69,4.08,0.11,0.57,3.4,1.61,3.91,6.38,1.12,1.02,1.91,4.2,0.59,2.46,1.89,1.47,0.64,4.56,2.2,2.53,1.18,3.37,4.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,2.41,2.71,1.91,,3.34,1.43,2.24,1.29,2.41,2.31,1.69,0.95,2.56,1.31,3.08,2.12,2.99,4.79,0.92,2.57,0.72,0.42,2.49,2.37,3.06,4.18,0.78,1.16,1.36,2.78,1.36,4.82,1.97,4.83,2.65,1.01,2.66,3.57,0.66,2.58,4.7,3.83,4.62,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,1.9,0.63,1.7,,2.71,2.64,1.76,2.63,2.31,0.49,3.93,0.82,1.64,2.62,2.12,2.15,1.98,4.67,1.1,1.92,0.98,0.06,2.51,2.58,0.62,3.42,2.08,3.44,1.02,3.25,1.58,3.04,2.03,2.94,1.37,3.79,2.79,2.52,2.83,1.74,0.24,3.06,1.2,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,2.7,3.4,0.69,,0.43,1.06,6.33,3.35,1.24,1.41,2.1,1.62,2.17,3.53,4.75,2.2,1.61,2.75,1.78,4.07,1.13,1.2,2.05,0.76,0.28,1.53,3.11,1.95,2.8,1.04,1.85,3.33,2.88,0.1,2.33,2.6,2.12,1.56,1.78,1.35,2.64,2.54,1.67,2.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,3.49,2.31,0.96,,1.07,0.6,3.82,6.62,3.03,3.63,3.69,4.15,4.31,1.78,1.32,0.99,3.17,0.44,3,2.25,2.07,1.01,2.31,0.84,1.25,2.93,1.04,1.15,2.25,1.78,2.97,3.85,1.68,4.08,2.71,3.35,0.73,3.77,4.75,2.42,4.66,0.82,2.23,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,3.3,4.14,1.41,,1.06,2.36,2.17,3.59,5.13,2.01,6.04,4.01,3.49,1.04,3.74,0.65,5.76,3.56,3.73,2.85,2.94,3.5,5.6,4.68,0.9,2.46,0.52,0.72,0.89,2.68,1.08,1.43,4.51,0.69,1.57,2.19,2.07,3.02,2.32,0.07,4.91,0.44,4.9,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,2.92,2.06,5.05,,5.69,5.94,3.52,8.3,0.55,5.99,4.63,2.53,2.66,2.32,3.03,2.15,2.78,2.95,3.02,7.33,4.06,2.92,3.21,3.9,1.6,7.77,3.69,1.45,2.71,2.68,3.84,3.86,3,3.99,2.79,2.34,4.7,2.79,6.2,1.77,7.93,1.59,2.41,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,2.33,2.45,7.21,,5.81,2.86,2.97,4.07,3.51,2.23,2.97,5.41,2.04,4.95,2.62,2.04,1.26,2.28,1.59,2.34,3.2,1.62,3.45,1.19,6.93,4.06,1.21,4.08,0.85,2.1,2.75,3.84,1.57,1.33,0.82,0.57,2.58,3.92,0.2,1.48,0.55,3.71,1.62,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,4.21,3.6,3.72,,1.36,2.92,5.81,1.71,2.92,2.38,8.32,3.09,0.98,3.92,4.61,2.71,1.09,2.55,1.77,10.95,3.18,6.14,4.3,3.59,5.29,1.39,6.21,3.58,4.29,1.43,2.15,8.62,1.19,2.03,6.12,5.61,2.12,6.28,5.25,2.97,4.73,2.53,1.89,4.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
