TOTNES-DARTINGTON-HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX788620,Long,-3.70752,Lat,50.44576,Elevation,100,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1695/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,9.49,7.17,8.01,3.54,6.2,5.9,10.61,4.35,3.48,6.19,5.15,9.6,0.95,1.27,5.75,4.77,0.94,2.19,8.32,4.55,6.36,5.91,7.24,5.08
February,,,,,,,9.15,1.7,3.18,6.72,6.26,0.29,2.85,0.5,3.94,4.69,3.77,2.25,1.9,8.94,5.67,0.47,2.11,4.91,4.79,0.34,7.21,4.5,0.37,6.28
March,,,,,,,6.7,0.18,1.57,3.8,4.42,4.21,1.54,0.16,1.78,2.78,12.02,2.36,1.31,2.77,5.83,4.57,0.7,4.16,2.15,1.79,4.74,2.53,6.07,4.23
April,,,,,,,4.28,0.12,3.58,4.02,1.26,2.91,1.78,2.86,1.02,2.92,3.79,3.34,1.95,1.87,2.52,4.33,3.49,0.47,1.61,0.85,0.44,1.01,5.06,3.17
May,,,,,,0.98,3.24,3.14,0.59,1.49,2.87,6.76,4.89,0.38,3.79,6.27,2.57,3.11,3.1,3.72,2.81,2.86,4.89,2.56,4.43,1.02,2.81,3.78,1.62,2.75
June,,,,,,1.3,1.83,1.49,4.93,0.84,2.74,0.41,1.12,3.3,4.15,3.26,3.84,2.07,0.66,0.92,1.19,1.95,2.2,3.35,3.38,3,1.75,3.56,1.7,1.56
July,,,,,,6.54,1.08,3.91,9.42,3.41,1.09,2.25,3.55,3.32,2.37,1.39,2.26,1.37,2.44,5.02,1.64,1.69,3.19,3.19,2.05,3.33,3.71,4.52,1.74,4.43
August,,,,,,0.47,1.65,7.61,3.4,0.04,5.04,4.38,3.98,3.87,2.74,5.22,1.42,3.82,4.22,4.81,5.64,4.18,2.71,3.39,0.4,4.73,3.67,4.5,2.87,4.03
September,,,,,,4.14,2.17,1.61,0.57,1.94,0.96,3.38,4.26,2.13,3.92,7.08,2.2,2.18,3.7,5.18,4.61,4.75,3.97,5.01,1.46,9.13,4.35,6.1,0.12,7.61
October,,,,,,1.7,4.03,6.08,6.74,5.54,2.04,4.97,4.78,5.66,6.63,2.8,1.24,3.62,9.43,1.57,1.33,5.6,3.85,5.17,3.48,1.88,4.2,4.94,4.42,9.09
November,,,,,,4.75,3.87,10.72,11.38,11.3,3.52,1.57,2.59,9.24,2,9.84,3.81,2.26,5.85,8.66,7.12,6.54,2.55,10.92,4.7,1.27,2.89,2.89,9.47,9.55
December,,,,,,7.21,4.71,5.3,2.8,5.25,4.31,6.65,4.17,3.91,8.16,6.06,3.78,9.35,2.35,4.25,5.11,4.02,0.94,4.69,7.8,8.03,4.17,5.71,12.36,6.18
Total,,,,,,,52.2,49.03,56.17,47.89,40.71,43.68,46.12,39.68,43.98,58.5,45.85,45.33,37.86,48.98,49.22,45.73,31.54,50.01,44.57,39.92,46.3,49.95,53.04,63.96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The long move from Dartington Hall took it into Dartington village where the Dartington Hall Trust had various properties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936 Apr 22nd Gauge moved 1.5m WSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 Feb Estimated possibly for snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949 Sept 9th Inspection Gauge loose Grass long To be corrected Poplar trees to N growing fast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station renamed Totnes (Dartington Hall),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post 1960 known as TOTNES SRC_ID 16784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930-1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
