TOTNES-DARTINGTON-HALL,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX799628,Long,-3.69308,Lat,50.45286,Elevation,175,ft,,,,,,,,,,,,,
Station no,1695/5,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,,,4.08,7.32,4.08,6.03,0.57,7.34,,,,
February,,,,,,,,,,,,3.39,0.06,5.36,0.13,5.4,4.57,,,,
March,,,,,,,,,,,,2.74,3,5.18,4.02,1.74,4.52,,,,
April,,,,,,,,,,,,4.04,3.65,2.6,4.02,5.84,,,,,
May,,,,,,,,,,,,2.94,3.85,2.5,1.49,2.3,,,,,
June,,,,,,,,,,,,4.05,3.68,2.69,1.85,5.49,,,,,
July,,,,,,,,,,,,4.74,1.91,3.19,0.45,0.26,,,,,
August,,,,,,,,,,,,4.53,2.02,1.56,3.51,2.45,,,,,
September,,,,,,,,,,,,1.5,5.71,2.71,3.38,5.47,,,,,
October,,,,,,,,,,,,0.8,10.09,3.96,3.34,4.72,,,,,
November,,,,,,,,,,,,9.54,3.45,1.37,2.64,7.49,,,,,
December,,,,,,,,,,,4.26,2.5,3.87,2.03,14.22,5.44,,,,,
Total,,,,,,,,,,,,44.85,48.61,37.23,45.08,47.17,,,,,
,,,,,,,,,,,,,,,,,,,,,
1930 Nov 1-10th estimated from surrounding stations,,,,,,,,,,,,,,,,,,,,,
1936 Apr 22nd Gauge moved 1.5m WSW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Exact location of gauge unknown,,,,,,,,,,,,,,,,,,,,,
"Observer lived in Warren Cottages, Park Road, near Dartington Hall",,,,,,,,,,,,,,,,,,,,,
Park Road and parts of Dartington Hall estate matches elevation,,,,,,,,,,,,,,,,,,,,,
NGR given is Park Road at the entrance to Dartington Hall as centre of likely location,,,,,,,,,,,,,,,,,,,,,
