WORTHY-DOWN-MET-OFFICE,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU479351,Long,-1.31708,Lat,51.11322,Elevation,275,ft,,,,,,,,,,,,,
Station no,728,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,2.4,5.81,1.39,4.92,2.53,3.32,2.31,3.37,0.54,,,,,
February,,,,,,,,4.52,2.17,0.89,0.78,2.02,0.08,4.77,0.1,3.98,,,,,
March,,,,,,,,3.95,3.05,0.06,1.29,0.42,2,3.93,3.65,0.58,,,,,
April,,,,,,,,2.16,1.86,0.85,2.29,3.54,3.42,1.09,2.23,4.32,,,,,
May,,,,,,,,0.89,1.5,1.89,1.72,2.66,5.2,1.7,1.04,1,,,,,
June,,,,,,,,2.4,2.7,1.83,0.4,2.72,2.15,2.56,1.39,4.31,,,,,
July,,,,,,,,3.82,1.28,1.74,1.86,4.79,3.21,2.57,1.95,2.45,,,,,
August,,,,,,,,3.42,2.08,1.61,3.62,4.61,0.67,1.06,3.13,2.9,,,,,
September,,,,,,,,6.23,1.34,0.29,3.21,2,3.88,2.99,1.89,4.78,,,,,
October,,,,,,,,1.95,6.04,4.29,1.68,0.6,4.7,2.31,1.51,5.24,,,,,
November,,,,,,,7.74,3.86,2.95,9.74,5.52,3.54,2.1,0.78,2.04,7.17,,,,,
December,,,,,,,0.35,4.76,2.96,8.52,3.46,0.77,1.3,0.48,10.52,3.96,,,,,
Total,,,,,,,,40.36,33.74,33.1,30.75,30.2,32.03,26.55,32.82,41.23,,,,,
,,,,,,,,,,,,,,,,,,,,,
Gauge from Andover Hants,,,,,,,,,,,,,,,,,,,,,
Met Office not found NGR from sheet,,,,,,,,,,,,,,,,,,,,,
1934 Total amended to correct addition,,,,,,,,,,,,,,,,,,,,,
