MEALSGATE QUARRY HILL RESERVOIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY219412,Long,-3.2151851,Lat,54.759641,Elevation,487,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,3611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,1.77,3.94,2.96,4.53,6.22,3.15,2.19,3.29,2.82,4.35,3.87,8.24,1.18,6.99,3.41,,,,,,,,,
February,,,,,,,,1.41,3.98,0.73,3.54,0.28,3.33,3.54,0.53,4.67,4.46,2.13,4.17,0.69,0.54,3.09,,,,,,,,,
March,,,,,,,,1.48,1.18,2.85,5.03,5.37,1.42,0.75,1.31,1.75,1.55,2.8,2.74,0.45,3.3,0.81,,,,,,,,,
April,,,,,,,,2.23,0.77,1.88,2.52,0.7,1.85,2.66,1.41,4,2.33,2.42,1.28,1.46,1.5,1.74,,,,,,,,,
May,,,,,,,,1.63,1.92,1.1,4.19,2.01,1.74,3.27,4.02,4.29,2.44,1.76,1.91,1.82,1.28,2.2,,,,,,,,,
June,,,,,,,2.68,2.13,1.78,2.69,1.29,0.45,2.7,1.29,2.35,0.27,3.85,3.31,5.26,1.36,2.81,7.2,,,,,,,,,
July,,,,,,,3.28,1.57,3.47,1.06,5.04,2.36,4.57,2.92,4.17,1.63,3.43,4.53,4.93,4.52,4.78,6.41,,,,,,,,,
August,,,,,,,3.34,5.86,3.6,3.46,2.48,5.71,3.26,6.71,3.18,2.8,3.57,6.92,6.28,6.42,7.48,3.98,,,,,,,,,
September,,,,,,,2.23,4.24,8.44,2.94,1.52,1.86,3.2,3.58,4.85,3.7,5.31,8.32,3.07,1.57,1.89,1.93,,,,,,,,,
October,,,,,,,6.89,6.13,5.57,2.34,1.52,3.53,1.27,6.15,3.24,4.48,4.05,3.83,5.85,6.28,6.58,4.24,,,,,,,,,
November,,,,,,,4.91,3.74,2.67,2.5,2.51,1.84,1.02,4.79,2.74,1.32,4.88,4.76,6.25,7.08,3.86,6.27,,,,,,,,,
December,,,,,,,3.74,2.06,4.65,4.16,2.96,4.91,4.53,2.96,5.9,4.13,1.31,1.38,3.54,6.99,3.17,3.98,,,,,,,,,
Total,,,,,,,,34.25,41.97,28.67,37.13,35.24,32.04,40.81,36.99,35.86,41.53,46.03,53.52,39.82,44.18,45.26,,,,,,,,,
