BOSTON GRAND SLUICE,,,,,,,,,,,,
Grid ref,TF323444,Long,-0.030903,Lat,52.980622,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.38,0.81,1.32,1.63,0.97,0.66,2.52,0.81,0.79,0.83,,
February,4.63,1.13,1.31,0.58,2.74,0.56,2.10,1.10,1.25,0.39,,
March,0.46,1.77,1.08,2.81,1.23,2.04,1.77,1.53,2.14,3.13,,
April,1.47,1.41,1.49,1.29,0.76,1.48,0.63,1.69,2.04,1.30,,
May,1.39,1.67,2.72,3.44,1.12,1.37,1.09,2.92,1.48,0.84,,
June,2.73,0.38,3.24,1.58,1.17,2.52,2.21,1.45,1.52,3.56,,
July,0.80,2.86,1.36,2.76,2.98,1.28,0.28,1.91,3.10,4.07,,
August,4.07,1.58,3.78,4.69,1.59,2.73,1.73,1.73,1.75,2.71,,
September,0.45,1.14,1.24,3.00,2.56,2.12,0.86,0.49,2.17,1.63,,
October,2.51,1.99,2.30,5.60,1.35,1.65,4.02,3.80,0.84,3.36,,
November,2.07,1.71,0.96,1.71,0.60,2.33,3.07,2.01,1.11,0.49,,
December,4.03,3.98,1.96,0.99,1.78,0.88,1.55,2.47,1.13,3.37,,
Total,27.99,20.43,22.76,30.08,18.85,19.62,21.83,21.91,19.32,25.68,,
Calc annual,27.99,20.43,22.76,30.08,18.85,19.62,21.83,21.91,19.32,25.68,,
Difference,-0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
