Rainfall at,BOSTON GRAND SLUICE
,
Station no,2539,
,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,1.45,1.86,2.27,1.36,1.95,1.25,2.53,1.73,3.08,1.72,1.84,
February,0.78,0.57,2.53,3.15,1.01,1.78,1.54,2.01,1.19,0.42,0.70,
March,2.22,0.78,1.55,1.51,0.59,1.26,0.65,1.69,1.64,0.25,1.71,
April,3.53,0.96,2.26,0.87,1.59,1.82,1.49,2.42,1.03,0.66,2.27,
May,2.07,1.32,1.12,2.08,2.75,3.73,2.43,0.98,1.61,1.19,2.47,
June,2.27,0.52,1.30,0.47,1.96,0.17,3.23,3.03,3.04,1.44,1.03,
July,2.59,0.39,4.58,2.32,1.91,0.90,1.39,1.81,1.02,1.57,2.88,
August,1.36,3.44,1.90,2.00,1.83,1.33,1.33,3.40,1.45,0.81,2.83,
September,1.47,0.63,2.22,2.35,2.00,2.72,2.17,3.13,0.29,0.48,3.50,
October,1.38,2.13,1.00,2.42,3.79,2.07,1.87,2.01,3.74,2.50,1.13,
November,0.60,1.33,1.08,2.18,1.95,2.53,2.80,2.59,2.42,3.85,2.81,
December,2.23,1.15,2.38,2.90,1.59,1.86,0.63,2.33,2.13,3.78,1.59,
Total,21.95,15.08,24.19,23.61,22.92,21.42,22.06,27.13,22.64,18.67,24.76,
Calc annual,21.95,15.08,24.19,23.61,22.92,21.42,22.06,27.13,22.64,18.67,24.76,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,
