"ABERLOUR",,,,,,,,,,,,
Grid ref,NJ266430,Long,-3.225440,Lat,57.471300,,,,,,,
Station no,5672,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.50,2.50,1.27,2.92,1.08,1.79,1.54,1.73,1.45,,,
February,4.00,4.00,1.03,3.52,2.50,2.55,3.40,2.13,3.75,,,
March,2.50,2.25,2.39,1.63,0.76,3.05,4.49,1.58,3.22,,,
April,1.50,2.00,1.38,3.17,1.74,2.44,1.99,1.73,2.78,3.60,,
May,2.00,1.00,4.80,2.47,2.07,1.03,6.22,2.91,1.40,3.60,,
June,1.25,3.25,2.54,1.78,1.02,0.43,0.41,4.30,1.31,1.50,,
July,4.00,,3.92,5.18,0.91,1.64,0.61,3.00,3.65,3.65,,
August,4.75,3.20,3.77,3.19,3.24,4.30,3.61,2.20,1.75,3.30,,
September,3.50,,1.95,2.10,2.17,2.07,2.00,1.05,5.17,2.78,,
October,2.00,2.90,2.61,3.21,0.58,5.74,6.02,5.80,1.35,2.65,,
November,2.25,2.91,1.16,3.17,2.32,5.93,8.14,1.55,0.53,2.89,,
December,1.75,3.45,4.71,1.20,2.33,0.60,2.32,1.85,0.40,2.18,,
Total,32.00,,31.53,33.54,20.72,31.57,40.75,29.83,26.76,,,
Calc annual,32.00,27.46,31.53,33.54,20.72,31.57,40.75,29.83,26.76,26.15,,
Difference,0.00,NaN,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,NaN,,
