UPPER-USK-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SN798290,Long,-3.7502335,Lat,51.94647,Elevation,1350,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,4111/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,6.5,2.1,6.5,8.75,9.1,7,2.4,3.8,5.4,8,6.5,5,8,4.5,12,2.5,2,6.5,5.5,1.5,4.5,3.62,5.35,7.8,4.95,6.25,7.4
February,,,,0.5,5.75,2.5,7.8,2.5,5.1,2.4,6,0.6,3.5,1.5,6,5.5,1.5,3.25,2.25,9.5,5,2,3.25,5,2.09,1.05,5.2,7.4,0.7,7.15
March,,,,3.25,1.8,2.75,3.2,1.3,2.7,5.5,3.2,3.7,1.5,1,3.2,1.5,8,3,2,3,5.5,3.25,4.75,4,4.03,3.25,5,1.55,5.15,2.5
April,,,,4.25,6,2.9,3.5,0.31,3.9,2.4,1.6,2.2,2.5,2.5,3.5,2.25,5,2.5,5,4.75,4.5,3.25,4,1,4.36,1.26,0.8,1.4,5.15,5.4
May,,,,3,2.7,2.2,2.3,5.1,0.9,2,3.3,8.2,6,2.25,5.5,3,3,3,4.25,2.5,3,4.25,2.5,3.5,4.98,1.53,2,4,1.6,2
June,,,,2,5.1,4.2,2.3,5.2,4.2,1.3,2,0.4,3.5,3.5,4.5,5,3,5,0.75,3.25,1,4.25,2,6.7,6.4,3.05,1.65,4.05,3.9,2.35
July,,,,1.4,1.2,8.25,2.7,5,11.4,5.7,4.1,6.4,5.5,2.5,4,3.5,3.5,3,1.25,5.25,1.5,3.25,5.5,5,1.32,4.2,6.2,4.35,4.96,6.1
August,,,,4.1,2.9,1.2,0.9,4.6,4,1.1,8,5.3,6,3.5,7.5,7,0.75,6.75,3.5,6.75,7.5,5.5,5.75,6.05,1.45,6.95,4.4,3.8,1.15,5.45
September,,,,5,8.5,4.1,3.1,2.4,1.2,2.6,0.7,3.6,6,5.5,4,8,3.5,5.75,2,10,5.5,3,5.5,6.25,3.25,5.85,8.75,9.3,0.7,5.9
October,,,,6.5,7.75,4,4.3,7.9,2.65,6.4,6.3,5.6,6.5,7,6,2.5,1.5,5.75,9,3.75,1.25,6,4.75,11.72,4.15,3.25,5.75,5.5,10,7.5
November,,,,1.9,7.75,6,1.8,8.7,13.75,19.2,4.3,1,4,10,1,10,6.25,3.5,5.5,8,11.5,3.25,6.25,9.78,3.3,3,3.6,3.6,9.7,10.5
December,,,,12.5,4,9.5,3.6,5.3,3.8,4.4,5.2,10,2.5,4,6,4.75,5.5,14.5,6.75,4.5,7.25,5,2,5.74,7.02,6.75,6.5,4.9,10.2,7.6
Total,,,,50.9,55.55,54.1,44.25,57.41,60.6,55.4,48.5,52.4,55.5,49.75,56.2,61,46,68,44.75,63.25,60,48.5,47.75,69.24,45.97,45.49,57.65,54.8,59.46,69.85
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record and is adjacent to site of the reservoir. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jan to Mar 1947 readings have a comment ""…open to doubt… snow.."". Readings left in this record",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"There are 6 gauges in the Upper Usk area and gauges 2, 3 and 4 have significant duplications particularly up to 1954. This coupled with the lateness of the presentation of the readings and the lack or precison in the readings means these readings are suspect for the period up to 1954",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
