"EXMOOR SIMONSBATH",,,,,,,,,,,,
Grid ref,SS775394,Long,-3.752458,Lat,51.140723,,,,,,,
Station no,RR2044,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,10.37,6.88,,9.63,,2.88,12.70,4.19,6.31,4.90,,
February,11.33,2.07,,4.56,,3.78,7.37,4.34,5.34,1.10,,
March,2.00,5.36,,10.18,,9.14,5.72,3.42,5.92,6.68,,
April,3.61,6.86,,3.42,,3.84,1.94,6.26,3.23,6.27,,
May,2.98,2.08,,3.86,,0.41,5.34,4.71,2.61,3.42,,
June,5.82,4.59,,4.87,,3.83,2.50,6.64,1.42,2.65,,
July,1.77,2.33,,5.56,,2.44,1.73,3.55,5.67,4.59,,
August,4.97,5.28,,6.71,,8.09,5.47,6.58,8.54,3.11,,
September,3.36,4.12,,6.65,,3.81,1.77,1.27,4.87,5.35,,
October,9.35,5.80,,17.05,,5.63,9.00,9.32,2.87,14.85,,
November,8.98,4.33,,6.26,,6.72,11.47,4.38,4.22,4.14,,
December,12.70,14.04,,7.90,,2.92,5.48,11.19,7.51,10.28,,
Total,77.24,63.74,,86.65,,53.49,70.49,65.85,58.51,67.34,,
Calc annual,77.24,63.74,0.00,86.65,0.00,53.49,70.49,65.85,58.51,67.34,,
Difference,-0.00,0.00,NaN,0.00,NaN,-0.00,-0.00,-0.00,0.00,0.00,,
