"SIMONSBATH (HONEYMEAD)",,,,,,,,,,,,
Grid ref,SS796381,Long,-3.722020,Lat,51.129484,,,,,,,
Station no,RR2044,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.64,8.17,1.54,3.68,6.74,7.92,6.88,6.50,8.05,6.95,,
February,7.17,1.80,2.99,6.21,5.19,0.73,7.22,7.61,0.42,5.35,,
March,6.87,4.90,2.36,5.79,1.72,2.03,6.45,1.77,5.32,2.98,,
April,6.74,5.30,5.32,1.10,3.42,1.72,0.38,2.08,6.47,3.67,,
May,4.09,3.84,3.88,3.87,7.13,1.34,2.97,5.95,1.54,1.95,,
June,1.12,2.98,2.53,5.20,5.09,3.31,1.64,3.89,3.11,3.03,,
July,2.19,2.36,8.16,7.54,2.67,5.70,6.76,4.32,4.62,9.28,,
August,7.92,13.84,6.59,6.55,0.81,6.63,6.53,7.46,3.79,5.92,,
September,5.92,7.82,6.84,9.13,2.97,9.77,10.53,9.28,0.66,5.37,,
October,2.64,7.59,3.97,8.81,3.83,3.75,8.43,6.61,8.13,12.49,,
November,10.35,8.10,5.39,11.95,4.44,2.34,3.44,4.60,9.76,11.75,,
December,6.31,7.31,2.04,6.46,9.06,7.01,4.98,6.93,13.73,11.04,,
Total,69.96,74.01,51.61,76.29,53.07,52.25,66.21,67.00,65.60,79.78,,
Calc annual,69.96,74.01,51.61,76.29,53.07,52.25,66.21,67.00,65.60,79.78,,
Difference,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
