TARLAND (IRRIGATION FARM),,,,,,,,,,
Grid ref,NJ488040,Long,-2.847266,Lat,57.124063,Elevation,467,ft,,
Station no,5640/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,2.14,1.6,1.68,1.27,4.19,2.39,1.89,2.64,4.49
February,,1.18,1.13,3.11,3.44,1.78,1.98,3.84,0.25,2.86
March,,2.41,0.24,2.07,1.45,1.91,2.12,3.86,1.13,2.43
April,,1.11,3.16,0.74,0.72,1.55,1.3,1.92,1.49,1.14
May,,2.11,1.08,3.48,2.71,0.55,2.64,3.09,1.05,1.16
June,,2.57,3.36,1.57,0.83,3.28,1.53,2.9,2.76,1.02
July,,1.83,3.54,1.92,0.69,4.67,5.88,5.11,2.32,2.51
August,,3.2,1.52,3.48,0.45,4.23,3.91,3.76,1.13,4.66
September,,1.89,1.84,1.19,2.19,3.48,1.8,1.66,0.67,3.32
October,,3.54,1.13,4.67,3.42,2.59,0.95,1.78,4.18,8.21
November,,3.6,1.67,4.79,1.39,1.08,1.97,0.59,6.2,3.81
December,,3.76,2.29,4.69,5,4.25,4.83,4.48,5.58,1.88
Total,,29.34,22.56,33.39,23.56,33.56,31.3,34.88,29.4,37.49
,,,,,,,,,,
BR 1959 P Feb Mar Estd,,,,,,,,,,
,,,,,,,,,,
Station no,5640/5,,,,,,,,,
Midas,14957,,,,,,,,,
Hyd Stn,846542,,,,,,,,,
